time_tag,frequency,flux,reporting_schedule,avg_begin_date,ninety_day_mean,rec_count,record_Id,record_Id_0
,,,,,,,0,
2023-08-08T22:00:00,2800,158,Afternoon,,,,1,0
2023-08-08T20:00:00,2800,159,Noon,2023-05-11T20:00:00,166,90,2,0
2023-08-08T17:00:00,2800,157,Morning,,,,3,0
2023-08-07T22:00:00,2800,173,Afternoon,,,,4,0
2023-08-07T20:00:00,2800,170,Noon,2023-05-10T20:00:00,166,90,5,0
2023-08-07T17:00:00,2800,169,Morning,,,,6,0
2023-08-06T22:00:00,2800,169,Afternoon,,,,7,0
2023-08-06T20:00:00,2800,174,Noon,2023-05-09T20:00:00,166,90,8,0
2023-08-06T17:00:00,2800,167,Morning,,,,9,0
2023-08-05T22:00:00,2800,204,Afternoon,,,,10,0
2023-08-05T20:00:00,2800,176,Noon,2023-05-08T20:00:00,166,90,11,0
2023-08-05T17:00:00,2800,171,Morning,,,,12,0
2023-08-04T22:00:00,2800,170,Afternoon,,,,13,0
2023-08-04T20:00:00,2800,171,Noon,2023-05-07T20:00:00,166,90,14,0
2023-08-04T17:00:00,2800,166,Morning,,,,15,0
2023-08-03T22:00:00,2800,166,Afternoon,,,,16,0
2023-08-03T20:00:00,2800,163,Noon,2023-05-06T20:00:00,166,90,17,0
2023-08-03T17:00:00,2800,165,Morning,,,,18,0
2023-08-02T22:00:00,2800,168,Afternoon,,,,19,0
2023-08-02T20:00:00,2800,173,Noon,2023-05-05T20:00:00,166,90,20,0
2023-08-02T17:00:00,2800,170,Morning,,,,21,0
2023-08-01T22:00:00,2800,172,Afternoon,,,,22,0
2023-08-01T20:00:00,2800,175,Noon,2023-05-04T20:00:00,165,90,23,0
2023-08-01T17:00:00,2800,174,Morning,,,,24,0
2023-07-31T22:00:00,2800,181,Afternoon,,,,25,0
2023-07-31T20:00:00,2800,177,Noon,2023-05-03T20:00:00,165,90,26,0
2023-07-31T17:00:00,2800,177,Morning,,,,27,0
2023-07-30T22:00:00,2800,170,Afternoon,,,,28,0
2023-07-30T20:00:00,2800,174,Noon,2023-05-02T20:00:00,165,90,29,0
2023-07-30T17:00:00,2800,174,Morning,,,,30,0
2023-07-29T22:00:00,2800,177,Afternoon,,,,31,0
2023-07-29T20:00:00,2800,179,Noon,2023-05-01T20:00:00,165,90,32,0
2023-07-29T17:00:00,2800,187,Morning,,,,33,0
2023-07-28T22:00:00,2800,171,Afternoon,,,,34,0
2023-07-28T20:00:00,2800,168,Noon,2023-04-30T20:00:00,164,90,35,0
2023-07-28T17:00:00,2800,168,Morning,,,,36,0
2023-07-27T22:00:00,2800,179,Afternoon,,,,37,0
2023-07-27T20:00:00,2800,165,Noon,2023-04-29T20:00:00,164,90,38,0
2023-07-27T17:00:00,2800,165,Morning,,,,39,0
2023-07-26T22:00:00,2800,171,Afternoon,,,,40,0
2023-07-26T20:00:00,2800,167,Noon,2023-04-28T20:00:00,164,90,41,0
2023-07-26T17:00:00,2800,171,Morning,,,,42,0
2023-07-25T22:00:00,2800,169,Afternoon,,,,43,0
2023-07-25T20:00:00,2800,169,Noon,2023-04-27T20:00:00,164,90,44,0
2023-07-25T17:00:00,2800,168,Morning,,,,45,0
2023-07-24T22:00:00,2800,166,Afternoon,,,,46,0
2023-07-24T20:00:00,2800,165,Noon,2023-04-26T20:00:00,164,90,47,0
2023-07-24T17:00:00,2800,168,Morning,,,,48,0
2023-07-23T22:00:00,2800,172,Afternoon,,,,49,0
2023-07-23T20:00:00,2800,173,Noon,2023-04-25T20:00:00,163,90,50,0
2023-07-23T17:00:00,2800,175,Morning,,,,51,0
2023-07-22T22:00:00,2800,177,Afternoon,,,,52,0
2023-07-22T20:00:00,2800,174,Noon,2023-04-24T20:00:00,163,90,53,0
2023-07-22T17:00:00,2800,175,Morning,,,,54,0
2023-07-21T22:00:00,2800,176,Afternoon,,,,55,0
2023-07-21T20:00:00,2800,173,Noon,2023-04-23T20:00:00,162,90,56,0
2023-07-21T17:00:00,2800,173,Morning,,,,57,0
