time_tag,kp_index,estimated_kp,kp,record_Id,record_Id_0
,,,,0,
2023-08-08T22:49:00,1,0.67,1M,1,0
2023-08-08T22:50:00,1,0.67,1M,2,0
2023-08-08T22:51:00,1,0.67,1M,3,0
2023-08-08T22:52:00,1,0.67,1M,4,0
2023-08-08T22:53:00,1,0.67,1M,5,0
2023-08-08T22:54:00,1,0.67,1M,6,0
2023-08-08T22:55:00,1,0.67,1M,7,0
2023-08-08T22:56:00,1,1,1Z,8,0
2023-08-08T22:57:00,1,1.33,1P,9,0
2023-08-08T22:58:00,1,1.33,1P,10,0
2023-08-08T22:59:00,1,1.33,1P,11,0
2023-08-08T23:00:00,1,1.33,1P,12,0
2023-08-08T23:01:00,1,1.33,1P,13,0
2023-08-08T23:02:00,1,1.33,1P,14,0
2023-08-08T23:03:00,1,1.33,1P,15,0
2023-08-08T23:04:00,1,1.33,1P,16,0
2023-08-08T23:05:00,1,1.33,1P,17,0
2023-08-08T23:06:00,1,1.33,1P,18,0
2023-08-08T23:07:00,1,1.33,1P,19,0
2023-08-08T23:08:00,1,1.33,1P,20,0
2023-08-08T23:09:00,1,1.33,1P,21,0
2023-08-08T23:10:00,1,1.33,1P,22,0
2023-08-08T23:11:00,1,1.33,1P,23,0
2023-08-08T23:12:00,1,1.33,1P,24,0
2023-08-08T23:13:00,1,1.33,1P,25,0
2023-08-08T23:14:00,1,1.33,1P,26,0
2023-08-08T23:15:00,1,1.33,1P,27,0
2023-08-08T23:16:00,1,1.33,1P,28,0
2023-08-08T23:17:00,1,1.33,1P,29,0
2023-08-08T23:18:00,1,1.33,1P,30,0
2023-08-08T23:19:00,1,1.33,1P,31,0
2023-08-08T23:20:00,1,1.33,1P,32,0
2023-08-08T23:21:00,1,1.33,1P,33,0
2023-08-08T23:22:00,1,1.33,1P,34,0
2023-08-08T23:23:00,1,1.33,1P,35,0
2023-08-08T23:24:00,1,1.33,1P,36,0
2023-08-08T23:25:00,1,1.33,1P,37,0
2023-08-08T23:26:00,1,1.33,1P,38,0
2023-08-08T23:27:00,1,1.33,1P,39,0
2023-08-08T23:28:00,1,1.33,1P,40,0
2023-08-08T23:29:00,1,1.33,1P,41,0
2023-08-08T23:30:00,1,1.33,1P,42,0
2023-08-08T23:31:00,1,1.33,1P,43,0
2023-08-08T23:32:00,1,1.33,1P,44,0
2023-08-08T23:33:00,1,1.33,1P,45,0
2023-08-08T23:34:00,1,1.33,1P,46,0
2023-08-08T23:35:00,1,1.33,1P,47,0
2023-08-08T23:36:00,1,1.33,1P,48,0
2023-08-08T23:37:00,1,1.33,1P,49,0
2023-08-08T23:38:00,1,1.33,1P,50,0
2023-08-08T23:39:00,1,1.33,1P,51,0
2023-08-08T23:40:00,1,1.33,1P,52,0
2023-08-08T23:41:00,1,1.33,1P,53,0
2023-08-08T23:42:00,1,1.33,1P,54,0
2023-08-08T23:43:00,1,1.33,1P,55,0
2023-08-08T23:44:00,1,1.33,1P,56,0
2023-08-08T23:45:00,1,1.33,1P,57,0
2023-08-08T23:46:00,1,1.33,1P,58,0
2023-08-08T23:47:00,1,1.33,1P,59,0
2023-08-08T23:48:00,1,1.33,1P,60,0
2023-08-08T23:49:00,1,1.33,1P,61,0
2023-08-08T23:50:00,1,1.33,1P,62,0
2023-08-08T23:51:00,1,1.33,1P,63,0
2023-08-08T23:52:00,1,1.33,1P,64,0
2023-08-08T23:53:00,1,1.33,1P,65,0
2023-08-08T23:54:00,1,1.33,1P,66,0
2023-08-08T23:55:00,1,1.33,1P,67,0
2023-08-08T23:56:00,1,1.33,1P,68,0
2023-08-08T23:57:00,1,1,1Z,69,0
2023-08-08T23:58:00,1,1,1Z,70,0
2023-08-08T23:59:00,1,1,1Z,71,0
2023-08-09T00:00:00,0,0,0Z,72,0
2023-08-09T00:01:00,0,0,0Z,73,0
2023-08-09T00:02:00,0,0,0Z,74,0
2023-08-09T00:03:00,0,0,0Z,75,0
2023-08-09T00:04:00,0,0,0Z,76,0
