time_tag,active,source,cadence,x_gci,y_gci,z_gci,vx_gci,vy_gci,vz_gci,x_gse,y_gse,z_gse,vx_gse,vy_gse,vz_gse,x_gsm,y_gsm,z_gsm,vx_gsm,vy_gsm,vz_gsm,record_Id,record_Id_0
,,,,,,,,,,,,,,,,,,,,,,0,
2023-08-09T04:00:00,true,DSCOVR,3600,-1073695,919960,250049,-0.27,-0.27,-0.065,1428153,58572,-136462,0.007,0.384,0.048,1428153,21172,-146984,0.007,0.384,-0.054,1,0
2023-08-09T04:00:00,false,ACE,3600,-1209955,991678,275992,,,,1581744,108426,-140316,,,,,,,,,,2,0
2023-08-09T03:00:00,true,DSCOVR,3600,-1072722,920931,250282,-0.27,-0.27,-0.065,1428088,58184,-136634,0.007,0.384,0.048,1428088,26551,-146114,0.007,0.385,-0.038,3,0
2023-08-09T03:00:00,false,ACE,3600,-1209408,992138,276314,,,,1581744,108426,-140316,,,,,,,,,,4,0
2023-08-09T02:00:00,false,ACE,3600,-1208861,992597,276636,,,,1575366,108426,-140316,,,,,,,,,,5,0
2023-08-09T02:00:00,true,DSCOVR,3600,-1071748,921901,250516,-0.271,-0.269,-0.065,1428022,57796,-136805,0.007,0.384,0.048,1428022,31159,-145207,0.007,0.386,-0.025,6,0
2023-08-09T01:00:00,false,ACE,3600,-1208314,993056,276958,,,,1575366,108426,-140316,,,,,,,,,,7,0
2023-08-09T01:00:00,true,DSCOVR,3600,-1070773,922870,250749,-0.271,-0.269,-0.065,1427957,57409,-136976,0.007,0.384,0.048,1427957,34690,-144412,0.007,0.387,-0.015,8,0
2023-08-09T00:00:00,false,ACE,3600,-1207766,993514,277280,,,,1575366,108426,-140316,,,,,,,,,,9,0
2023-08-09T00:00:00,true,DSCOVR,3600,-1069798,923838,250982,-0.271,-0.269,-0.065,1427892,57021,-137147,0.007,0.384,0.047,1427892,36903,-143871,0.007,0.387,-0.008,10,0
2023-08-08T23:00:00,false,ACE,3600,-1207219,993971,277603,,,,1575366,108426,-140316,,,,,,,,,,11,0
2023-08-08T23:00:00,true,DSCOVR,3600,-1068822,924805,251215,-0.271,-0.268,-0.065,1427827,56634,-137318,0.007,0.384,0.047,1427827,37619,-143696,0.007,0.387,-0.005,12,0
2023-08-08T22:00:00,false,ACE,3600,-1206671,994428,277925,,,,1575366,108426,-140316,,,,,,,,,,13,0
