time_tag,Obsdate,Obstime,Station,Observatory,Type,Quality,Region,Latitude,Report_Longitude,Longitude,Report_Location,Location,Carlon,Extent,Area,Numspot,Zurich,Penumbra,Compact,Spotclass,Magcode,Magclass,Obsid,Report_Status,ValidSpotClass,record_Id,record_Id_0
,,,,,,,,,,,,,,,,,,,,,,,,,,0,
2023-08-09T03:02:00,2023-08-09T00:00:00,0302,94302,LEA,spt,3,3391,23,-55,-67,N23W55,N23W67,34,1,100,1,4,2,1,Dsx,1,A,248,2,0,1,0
2023-08-09T03:02:00,2023-08-09T00:00:00,0302,94302,LEA,spt,3,3392,10,-66,-79,N10W66,N10W79,45,1,90,1,4,2,1,Dsx,1,A,251,2,0,2,0
2023-08-09T03:02:00,2023-08-09T00:00:00,0302,94302,LEA,spt,3,3398,-21,-60,-72,S21W60,S21W72,39,2,30,3,2,0,2,Bxo,2,B,256,2,1,3,0
2023-08-09T03:02:00,2023-08-09T00:00:00,0302,94302,LEA,spt,3,3394,-24,-4,-16,S24W04,S24W16,343,6,330,11,3,2,2,Cso,2,B,253,2,1,4,0
2023-08-09T03:02:00,2023-08-09T00:00:00,0302,94302,LEA,spt,3,,-16,49,36,S16E49,S16E36,290,1,20,1,1,0,1,Axx,1,A,259,2,1,5,0
2023-08-09T03:02:00,2023-08-09T00:00:00,0302,94302,LEA,spt,3,3397,19,33,21,N19E33,N19E21,306,1,10,1,1,0,1,Axx,1,A,258,2,1,6,0
2023-08-09T03:02:00,2023-08-09T00:00:00,0302,94302,LEA,spt,3,3395,13,10,-3,N13E10,N13W03,329,10,130,12,3,2,2,Cso,2,B,255,2,1,7,0
2023-08-08T21:00:00,2023-08-08T00:00:00,2100,72269,HOL,spt,3,3390,-16,-72,-74,S16W72,S16W74,54,0,10,1,1,0,1,Axx,1,A,319,2,1,8,0
2023-08-08T21:00:00,2023-08-08T00:00:00,2100,72269,HOL,spt,3,3391,22,-50,-52,N22W50,N22W52,32,2,60,1,7,2,1,Hsx,1,A,307,2,1,9,0
2023-08-08T21:00:00,2023-08-08T00:00:00,2100,72269,HOL,spt,3,3392,9,-60,-62,N09W60,N09W62,42,1,40,1,7,1,1,Hrx,1,A,309,2,1,10,0
2023-08-08T21:00:00,2023-08-08T00:00:00,2100,72269,HOL,spt,3,3394,-23,2,0,S23E02,S23W00,340,5,250,9,3,5,2,Cko,2,B,312,2,1,11,0
2023-08-08T21:00:00,2023-08-08T00:00:00,2100,72269,HOL,spt,3,3395,13,13,11,N13E13,N13E11,329,9,60,14,3,3,2,Cao,2,B,313,2,1,12,0
2023-08-08T21:00:00,2023-08-08T00:00:00,2100,72269,HOL,spt,3,3397,20,36,34,N20E36,N20E34,306,1,10,1,1,0,1,Axx,1,A,316,2,1,13,0
2023-08-08T21:00:00,2023-08-08T00:00:00,2100,72269,HOL,spt,3,3398,-22,-55,-57,S22W55,S22W57,37,3,20,3,2,0,2,Bxo,2,B,314,2,1,14,0
2023-08-08T21:00:00,2023-08-08T00:00:00,2100,72269,HOL,spt,3,,-16,52,50,S16E52,S16E50,290,1,20,3,1,0,1,Axx,1,A,320,2,1,15,0
2023-08-08T05:30:00,2023-08-08T00:00:00,0530,16320,SVI,spt,2,3387,18,-78,-89,N18W78,N18W89,69,6,90,4,4,2,2,Dso,2,B,266,2,1,16,0
2023-08-08T05:30:00,2023-08-08T00:00:00,0530,16320,SVI,spt,2,3391,23,-43,-54,N23W43,N23W54,34,3,40,1,7,3,1,Hax,1,A,271,2,1,17,0
2023-08-08T05:30:00,2023-08-08T00:00:00,0530,16320,SVI,spt,2,3392,8,-52,-63,N08W52,N08W63,43,2,20,1,7,2,1,Hsx,1,A,274,2,1,18,0
2023-08-08T05:30:00,2023-08-08T00:00:00,0530,16320,SVI,spt,2,3394,-23,7,-4,S23E07,S23W04,344,4,90,3,3,5,2,Cko,2,B,277,2,1,19,0
2023-08-08T05:30:00,2023-08-08T00:00:00,0530,16320,SVI,spt,2,3395,14,21,10,N14E21,N14E10,330,9,30,6,3,3,2,Cao,2,B,279,2,1,20,0
2023-08-08T05:30:00,2023-08-08T00:00:00,0530,16320,SVI,spt,2,3389,-16,-63,-74,S16W63,S16W74,54,0,0,1,1,0,1,Axx,1,A,280,2,1,21,0
2023-08-08T05:30:00,2023-08-08T00:00:00,0530,16320,SVI,spt,2,3396,19,3,-8,N19E03,N19W08,348,0,0,4,2,0,2,Bxo,2,B,282,2,1,22,0
2023-08-08T05:30:00,2023-08-08T00:00:00,0530,16320,SVI,spt,2,3397,19,44,33,N19E44,N19E33,307,1,10,1,7,2,1,Hsx,1,A,283,2,1,23,0
2023-08-08T05:30:00,2023-08-08T00:00:00,0530,16320,SVI,spt,2,3398,-23,-45,-56,S23W45,S23W56,36,4,20,4,3,3,2,Cao,2,B,284,2,1,24,0
2023-08-08T05:30:00,2023-08-08T00:00:00,0530,16320,SVI,spt,2,,-16,62,51,S16E62,S16E51,289,0,0,1,1,0,1,Axx,1,A,285,2,1,25,0
2023-08-07T20:10:00,2023-08-07T00:00:00,2010,72269,HOL,spt,2,3387,23,-30,-32,N23W30,N23W32,26,6,120,5,4,3,3,Dai,2,B,301,2,1,26,0
2023-08-07T20:10:00,2023-08-07T00:00:00,2010,72269,HOL,spt,2,3389,-23,-40,-42,S23W40,S23W42,36,4,10,2,2,0,2,Bxo,2,B,318,2,1,27,0
2023-08-07T20:10:00,2023-08-07T00:00:00,2010,72269,HOL,spt,2,3391,23,-38,-40,N23W38,N23W40,34,2,80,1,7,2,1,Hsx,1,A,307,2,1,28,0
2023-08-07T20:10:00,2023-08-07T00:00:00,2010,72269,HOL,spt,2,3392,9,-47,-49,N09W47,N09W49,43,3,70,5,3,3,2,Cao,2,B,309,2,1,29,0
2023-08-07T20:10:00,2023-08-07T00:00:00,2010,72269,HOL,spt,2,3394,-23,20,18,S23E20,S23E18,336,11,280,14,3,5,2,Cko,2,B,312,2,1,30,0
2023-08-07T20:10:00,2023-08-07T00:00:00,2010,72269,HOL,spt,2,3395,13,28,26,N13E28,N13E26,328,4,70,4,3,2,2,Cso,2,B,313,2,1,31,0
