date,tencmfcst_1_day,tencmfcst_2_day,tencmfcst_3_day,record_Id,record_Id_0
,,,,0,
2023-08-14,155,150,150,1,0
2023-08-13,140,130,135,2,0
2023-08-12,145,140,130,3,0
2023-08-11,150,145,140,4,0
2023-08-10,150,150,145,5,0
2023-08-09,150,150,150,6,0
2023-08-08,155,150,150,7,0
2023-08-07,170,165,160,8,0
2023-08-06,168,166,164,9,0
2023-08-05,170,168,166,10,0
2023-08-04,165,162,164,11,0
2023-08-03,160,160,162,12,0
2023-08-02,170,165,160,13,0
2023-08-01,175,170,165,14,0
2023-07-31,175,175,170,15,0
2023-07-30,170,165,165,16,0
2023-07-29,175,170,165,17,0
2023-07-28,165,162,158,18,0
2023-07-27,165,162,158,19,0
2023-07-26,168,165,162,20,0
2023-07-25,168,162,162,21,0
2023-07-24,168,165,160,22,0
2023-07-23,165,165,160,23,0
2023-07-22,170,165,165,24,0
2023-07-21,170,170,165,25,0
2023-07-20,185,185,185,26,0
2023-07-19,188,188,188,27,0
2023-07-18,210,210,210,28,0
2023-07-17,178,174,172,29,0
2023-07-16,184,182,178,30,0
