time_tag,active,source,cadence,x_gci,y_gci,z_gci,vx_gci,vy_gci,vz_gci,x_gse,y_gse,z_gse,vx_gse,vy_gse,vz_gse,x_gsm,y_gsm,z_gsm,vx_gsm,vy_gsm,vz_gsm,record_Id,record_Id_0
,,,,,,,,,,,,,,,,,,,,,,0,
2023-08-15T06:00:00,true,ACE,3600,-1285567,917955,228879,,,,1588122,57402,-153072,,,,,,,,,,1,0
2023-08-15T06:00:00,false,DSCOVR,3600,-1206463,767686,214470,-0.231,-0.308,-0.07,1437241,115973,-108543,-0.008,0.387,0.058,1437241,68468,-143330,-0.008,0.381,-0.087,2,0
2023-08-15T05:00:00,true,ACE,3600,-1285088,918504,229201,,,,1588122,57402,-153072,,,,,,,,,,3,0
2023-08-15T05:00:00,false,DSCOVR,3600,-1205632,768794,214723,-0.231,-0.308,-0.07,1437189,115585,-108751,-0.008,0.387,0.058,1437189,73983,-140404,-0.008,0.384,-0.071,4,0
2023-08-15T04:00:00,true,ACE,3600,-1284609,919052,229524,,,,1588122,57402,-153072,,,,,,,,,,5,0
2023-08-15T04:00:00,false,DSCOVR,3600,-1204799,769900,214976,-0.231,-0.307,-0.07,1437136,115197,-108960,-0.008,0.387,0.058,1437136,79384,-137262,-0.008,0.387,-0.055,6,0
2023-08-15T03:00:00,true,ACE,3600,-1284129,919599,229847,,,,1588122,63780,-153072,,,,,,,,,,7,0
2023-08-15T03:00:00,false,DSCOVR,3600,-1203965,771006,215229,-0.232,-0.307,-0.07,1437083,114808,-109168,-0.008,0.387,0.058,1437083,84304,-134132,-0.008,0.389,-0.04,8,0
2023-08-15T02:00:00,true,ACE,3600,-1283649,920147,230169,,,,1588122,63780,-153072,,,,,,,,,,9,0
2023-08-15T02:00:00,false,DSCOVR,3600,-1203130,772111,215481,-0.232,-0.307,-0.07,1437030,114420,-109375,-0.007,0.387,0.058,1437030,88434,-131280,-0.007,0.39,-0.026,10,0
2023-08-15T01:00:00,true,ACE,3600,-1283167,920693,230492,,,,1588122,63780,-153072,,,,,,,,,,11,0
2023-08-15T01:00:00,false,DSCOVR,3600,-1202294,773216,215734,-0.233,-0.307,-0.07,1436977,114031,-109583,-0.007,0.387,0.058,1436977,91533,-128970,-0.007,0.391,-0.016,12,0
2023-08-15T00:00:00,true,ACE,3600,-1282686,921239,230815,,,,1588122,63780,-153072,,,,,,,,,,13,0
2023-08-15T00:00:00,false,DSCOVR,3600,-1201456,774319,215986,-0.233,-0.306,-0.07,1436923,113642,-109790,-0.007,0.387,0.058,1436923,93424,-127438,-0.007,0.391,-0.009,14,0
2023-08-14T23:00:00,true,ACE,3600,-1282203,921785,231137,,,,1588122,63780,-153072,,,,,,,,,,15,0
2023-08-14T23:00:00,false,DSCOVR,3600,-1200617,775422,216238,-0.233,-0.306,-0.07,1436870,113253,-109998,-0.007,0.387,0.058,1436870,93982,-126858,-0.007,0.391,-0.006,16,0
2023-08-14T22:00:00,true,ACE,3600,-1281720,922330,231460,,,,1588122,63780,-153072,,,,,,,,,,17,0
2023-08-14T22:00:00,false,DSCOVR,3600,-1199777,776524,216491,-0.234,-0.306,-0.07,1436816,112863,-110205,-0.007,0.387,0.057,1436816,93130,-127319,-0.007,0.391,-0.007,18,0
2023-08-14T21:00:00,true,ACE,3600,-1281236,922874,231783,,,,1588122,63780,-153072,,,,,,,,,,19,0
2023-08-14T21:00:00,false,DSCOVR,3600,-1198935,777626,216743,-0.234,-0.306,-0.07,1436762,112473,-110411,-0.007,0.387,0.057,1436762,90832,-128804,-0.007,0.391,-0.013,20,0
2023-08-14T20:00:00,true,ACE,3600,-1280752,923418,232106,,,,1588122,63780,-153072,,,,,,,,,,21,0
2023-08-14T20:00:00,false,DSCOVR,3600,-1198093,778726,216995,-0.234,-0.306,-0.07,1436708,112083,-110618,-0.007,0.387,0.057,1436708,87118,-131185,-0.007,0.391,-0.023,22,0
2023-08-14T19:00:00,true,ACE,3600,-1280267,923961,232428,,,,1588122,63780,-153072,,,,,,,,,,23,0
2023-08-14T19:00:00,false,DSCOVR,3600,-1197249,779826,217246,-0.235,-0.305,-0.07,1436653,111693,-110824,-0.007,0.387,0.057,1436653,82109,-134222,-0.007,0.39,-0.036,24,0
2023-08-14T18:00:00,true,ACE,3600,-1279781,924503,232751,,,,1588122,63780,-153072,,,,,,,,,,25,0
2023-08-14T18:00:00,false,DSCOVR,3600,-1196404,780925,217498,-0.235,-0.305,-0.07,1436599,111303,-111030,-0.006,0.387,0.057,1436599,76054,-137593,-0.006,0.388,-0.053,26,0
2023-08-14T17:00:00,true,ACE,3600,-1279294,925045,233074,,,,1588122,63780,-153072,,,,,,,,,,27,0
2023-08-14T17:00:00,false,DSCOVR,3600,-1195558,782023,217750,-0.235,-0.305,-0.07,1436544,110913,-111236,-0.006,0.387,0.057,1436544,69338,-140951,-0.006,0.385,-0.07,28,0
2023-08-14T16:00:00,true,ACE,3600,-1278807,925587,233397,,,,1588122,63780,-153072,,,,,,,,,,29,0
2023-08-14T16:00:00,false,DSCOVR,3600,-1194710,783120,218001,-0.236,-0.305,-0.07,1436489,110522,-111442,-0.006,0.387,0.057,1436489,62461,-143989,-0.006,0.381,-0.088,30,0
2023-08-14T15:00:00,true,ACE,3600,-1278320,926128,233720,,,,1588122,63780,-153072,,,,,,,,,,31,0
2023-08-14T15:00:00,false,DSCOVR,3600,-1193861,784217,218253,-0.236,-0.304,-0.07,1436434,110131,-111647,-0.006,0.387,0.057,1436434,55971,-146496,-0.006,0.378,-0.103,32,0
2023-08-14T14:00:00,true,ACE,3600,-1277831,926668,234043,,,,1588122,63780,-153072,,,,,,,,,,33,0
