time_tag,active,source,proton_speed,proton_temperature,proton_density,proton_vx_gse,proton_vy_gse,proton_vz_gse,proton_vx_gsm,proton_vy_gsm,proton_vz_gsm,proton_sample_size,alpha_speed,alpha_temperature,alpha_density,alpha_vx_gse,alpha_vy_gse,alpha_vz_gse,alpha_vx_gsm,alpha_vy_gsm,alpha_vz_gsm,alpha_sample_size,max_convergence_flag,max_data_flag,max_error_count_flag,max_processing_flag,max_range_flag,max_sample_count_flag,max_telemetry_flag,overall_quality,record_Id,record_Id_0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
2023-08-15T06:01:00,false,DSCOVR,312.2,17967,8.37,-311.2,24.2,-5.9,-311.2,20.4,-14.4,10,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0
2023-08-15T06:01:00,true,ACE,321,27865,4.26,,,,,,,1,,,,,,,,,,,0,0,0,0,0,0,0,0,2,0
2023-08-15T06:00:00,true,ACE,321.9,27351,4.2,,,,,,,1,,,,,,,,,,,0,0,0,0,0,0,0,0,3,0
2023-08-15T06:00:00,false,DSCOVR,312.5,17675,8.45,-311.8,21.2,-2.8,-311.8,18.8,-10.3,12,,,,,,,,,,,0,0,0,0,0,0,0,0,4,0
2023-08-15T05:59:00,true,ACE,319.8,28823,4.28,,,,,,,1,,,,,,,,,,,0,0,0,0,0,0,0,0,5,0
2023-08-15T05:59:00,false,DSCOVR,313.5,17617,8.36,-313,17.3,-3.3,-313,14.9,-9.4,9,,,,,,,,,,,0,0,0,0,0,0,0,0,6,0
2023-08-15T05:58:00,false,DSCOVR,313.8,17884,8.4,-313.3,17.1,-3.9,-313.3,14.5,-9.8,12,,,,,,,,,,,0,0,0,0,0,0,0,0,7,0
2023-08-15T05:58:00,true,ACE,319.1,27280,3.94,,,,,,,1,,,,,,,,,,,0,0,0,0,0,0,0,0,8,0
2023-08-15T05:57:00,true,ACE,320.7,26899,3.86,,,,,,,1,,,,,,,,,,,0,0,0,0,0,0,0,0,9,0
2023-08-15T05:57:00,false,DSCOVR,314.2,17949,8.3,-313.8,15.5,-3.2,-313.8,13.3,-8.6,13,,,,,,,,,,,0,0,0,0,0,0,0,0,10,0
2023-08-15T05:56:00,true,ACE,321.1,27570,3.96,,,,,,,1,,,,,,,,,,,0,0,0,0,0,0,0,0,11,0
2023-08-15T05:56:00,false,DSCOVR,316.6,18093,8.35,-315.9,21.1,-3.1,-315.9,18.6,-10.5,12,,,,,,,,,,,0,0,0,0,0,0,0,0,12,0
2023-08-15T05:55:00,false,DSCOVR,317.1,17689,8.17,-316.4,21.3,-4.5,-316.4,18.3,-11.9,10,,,,,,,,,,,0,0,0,0,0,0,0,0,13,0
2023-08-15T05:55:00,true,ACE,320.5,26030,3.99,,,,,,,1,,,,,,,,,,,0,0,0,0,0,0,0,0,14,0
2023-08-15T05:54:00,true,ACE,319.6,26293,4.18,,,,,,,1,,,,,,,,,,,0,0,0,0,0,0,0,0,15,0
2023-08-15T05:54:00,false,DSCOVR,316.8,17597,8.35,-316.2,19.7,-0.8,-316.2,18.1,-7.8,12,,,,,,,,,,,0,0,0,0,0,0,0,0,16,0
2023-08-15T05:53:00,false,DSCOVR,316.9,17507,8.56,-316.3,19.5,-2.1,-316.3,17.4,-8.9,12,,,,,,,,,,,0,0,0,0,0,0,0,0,17,0
2023-08-15T05:53:00,true,ACE,316.9,30939,4.25,,,,,,,1,,,,,,,,,,,0,0,0,0,0,0,0,0,18,0
2023-08-15T05:52:00,true,ACE,316.7,31602,4.47,,,,,,,1,,,,,,,,,,,0,0,0,0,0,0,0,0,19,0
2023-08-15T05:52:00,false,DSCOVR,317.2,16950,8.56,-316.6,19.8,-1.2,-316.6,18.1,-8.2,13,,,,,,,,,,,0,0,0,0,0,0,0,0,20,0
2023-08-15T05:51:00,true,ACE,318.4,28046,4.51,,,,,,,1,,,,,,,,,,,0,0,0,0,0,0,0,0,21,0
2023-08-15T05:51:00,false,DSCOVR,318.4,16959,8.48,-317.6,23.4,-2.5,-317.6,21,-10.8,12,,,,,,,,,,,0,0,0,0,0,0,0,0,22,0
2023-08-15T05:50:00,false,DSCOVR,317.7,17127,8.63,-316.8,22.6,-0.3,-316.8,21,-8.4,12,,,,,,,,,,,0,0,0,0,0,0,0,0,23,0
2023-08-15T05:50:00,true,ACE,316.8,30450,5.48,,,,,,,1,,,,,,,,,,,0,0,0,0,0,0,0,0,24,0
2023-08-15T05:49:00,false,DSCOVR,317,17561,8.85,-316.3,21.5,2,-316.3,20.8,-5.8,13,,,,,,,,,,,0,0,0,0,0,0,0,0,25,0
2023-08-15T05:49:00,true,ACE,321,28994,3.23,,,,,,,1,,,,,,,,,,,0,0,0,0,0,0,0,0,26,0
