observed_date,region,latitude,longitude,location,carrington_longitude,old_carrington_longitude,area,spot_class,extent,number_spots,mag_class,mag_string,status,c_xray_events,m_xray_events,x_xray_events,proton_events,s_flares,impulse_flares_1,impulse_flares_2,impulse_flares_3,impulse_flares_4,protons,c_flare_probability,m_flare_probability,x_flare_probability,proton_probability,first_date,record_Id,record_Id_0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
2023-08-14,3405,11,75,N11E75,186,,120,Hsx,2,1,A,,f,1,0,0,,1,0,0,0,0,0,5,1,1,1,2023-08-14T18:42:41,1,0
2023-08-14,3404,-7,59,S07E59,201,200,60,Hax,2,2,A,,f,0,0,0,,0,0,0,0,0,,10,1,1,1,2023-08-13T21:58:28,2,0
2023-08-14,3403,26,18,N26E18,242,242,130,Dao,6,10,B,,f,0,0,0,,0,0,0,0,0,,25,5,1,1,2023-08-13T17:20:32,3,0
2023-08-14,3402,-18,-61,S18W61,321,321,,,,,,,f,0,0,0,,0,0,0,0,0,,1,0,0,0,2023-08-13T10:11:13,4,0
2023-08-14,3401,25,-87,N25W87,348,347,,,,,,,f,0,0,0,,0,0,0,0,0,,0,0,0,0,2023-08-11T08:38:50,5,0
2023-08-14,3400,-14,-48,S14W48,309,308,,,,,,,f,0,0,0,,0,0,0,0,0,,0,0,0,0,2023-08-11T08:38:18,6,0
2023-08-14,3399,-15,-34,S15W34,295,294,,,,,,,f,0,0,0,,0,0,0,0,0,,0,0,0,0,2023-08-09T07:25:33,7,0
2023-08-14,3397,17,-44,N17W44,304,305,90,Dao,6,6,B,,f,0,0,0,,0,0,0,0,0,,25,5,1,1,2023-08-07T07:57:40,8,0
2023-08-14,3396,19,-92,N19W92,353,352,,,,,,,d,0,0,0,,1,0,0,0,0,0,0,0,0,0,2023-08-07T07:56:17,9,0
2023-08-14,3395,11,-70,N11W70,331,331,100,Dao,6,5,B,,f,1,0,0,,0,0,0,0,0,0,25,5,1,1,2023-08-03T18:05:48,10,0
2023-08-14,3394,-24,-81,S24W81,342,341,150,Hsx,3,1,A,,f,0,0,0,,0,0,0,0,0,,5,1,1,1,2023-08-03T18:00:50,11,0
2023-08-13,3404,-8,74,S08E74,200,,60,Hax,2,1,A,,f,0,0,0,,0,0,0,0,0,,5,1,1,1,2023-08-13T21:58:28,12,0
2023-08-13,3403,26,32,N26E32,242,,50,Cao,5,7,B,,f,1,0,0,,0,0,0,0,0,0,15,0,0,0,2023-08-13T17:20:32,13,0
