begin_datetime,begin_quality,max_datetime,max_quality,end_datetime,end_quality,observatory,quality,type,coded_type,obsid,location,frequency,particulars1,particulars2,particulars3,particulars4,particulars5,particulars6,particulars7,particulars8,particulars9,particulars10,region,bin,age,status_code,status_text,change_flag,record_Id,record_Id_0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
2023-08-23T01:20:00,,2023-08-23T01:30:00,,2023-08-23T01:38:00,,G16,5,XRA,1,0,,1-8A,C3.4,2.9E-03,,,,,,,,3.4E-06,3407,4410,,4,+,0,1,0
2023-08-23T01:20:00,,2023-08-23T01:30:00,,2023-08-23T01:38:00,,G18,5,XRA,1,0,,1-8A,C3.4,2.9E-03,,,,,,,,3.4E-06,3407,4410,,2,-,0,2,0
2023-08-23T00:00:00,B,2023-08-23T00:05:00, ,2023-08-23T00:22:00, ,LEA,3,FLA,10,1,N11W29,,SF,,,47,,,,,,11,3405,4400,,5,,0,3,0
2023-08-23T00:00:00, ,2023-08-23T00:48:00, ,2023-08-23T01:36:18, ,PAL,G,RNS,41,1,,245,220,,,0,,,,,,,,4420,,5,,0,4,0
2023-08-22T23:41:48, ,2023-08-22T23:42:00, ,2023-08-22T23:42:00, ,LEA,G,RBR,31,7,,245,210,,1.9E+03,160,,,,,,,,4390,,2,-,0,5,0
2023-08-22T23:41:42, ,2023-08-22T23:41:54, ,2023-08-22T23:42:00, ,PAL,G,RBR,31,9,,245,180,,7.0E+02,170,,,,,,,,4390,,4,+,0,6,0
2023-08-22T23:41:18, ,2023-08-22T23:41:48, ,2023-08-22T23:42:36, ,PAL,G,RBR,32,9,,410,390,,1.4E+04,220,,,,,,,,4390,,4,+,0,7,0
2023-08-22T23:41:12, ,2023-08-22T23:41:48, ,2023-08-22T23:42:36, ,LEA,G,RBR,32,7,,410,590,,2.4E+04,290,,,,,,,,4390,,2,-,0,8,0
2023-08-22T23:40:12, ,, ,2023-08-22T23:40:24, ,LEA,C,RSP,51,6,,025-180,III/2,,,,,,,,,,,4390,,5,,0,9,0
2023-08-22T23:38:00,,2023-08-22T23:41:00,,2023-08-22T23:45:00,,G16,5,XRA,1,0,,1-8A,C7.1,3.3E-03,,,,,,,,7.1E-06,3405,4390,,4,+,0,10,0
2023-08-22T23:38:00,,2023-08-22T23:41:00,,2023-08-22T23:45:00,,G18,5,XRA,1,0,,1-8A,C7.1,3.3E-03,,,,,,,,7.1E-06,3405,4390,,2,-,0,11,0
2023-08-22T23:17:00,B,2023-08-22T23:53:00, ,2023-08-22T23:59:00,A,LEA,3,FLA,10,1,N11W29,,SF,,,54,,,,,,11,3405,4380,,5,,0,12,0
2023-08-22T23:16:48, ,2023-08-22T23:16:48, ,2023-08-22T23:16:48, ,LEA,G,RBR,31,6,,245,290,,8.6E+02,280,,,,,,,3405,4380,,2,-,0,13,0
2023-08-22T23:02:24, ,2023-08-22T23:02:24, ,2023-08-22T23:02:24, ,PAL,G,RBR,31,8,,245,170,,5.1E+02,170,,,,,,,3405,4380,,2,-,0,14,0
2023-08-22T22:59:42, ,2023-08-22T23:02:24, ,2023-08-22T23:08:06, ,LEA,G,RBR,31,4,,245,200,,5.7E+04,120,,,,,,,3405,4380,,2,-,0,15,0
2023-08-22T22:54:00, ,, ,2023-08-22T23:59:00, ,LEA,C,RSP,54,4,,025-180,CTM/2,,,,,,,,,,3405,4380,,5,,0,16,0
2023-08-22T22:54:00, ,, ,2023-08-22T23:59:00, ,LEA,C,RSP,55,5,,025-180,VI/2,,,,,,,,,,3405,4380,,5,,0,17,0
2023-08-22T22:51:24, ,2023-08-22T22:51:24, ,2023-08-22T22:51:24, ,PAL,G,RBR,31,7,,245,300,,1.0E+03,260,,,,,,,3405,4380,,4,+,0,18,0
2023-08-22T22:35:00,,2023-08-22T23:04:00,,2023-08-22T23:38:00,,G16,5,XRA,1,0,,1-8A,M1.1,2.1E-03,,,,,,,,1.1E-05,3405,4380,,4,+,0,19,0
2023-08-22T22:35:00,,2023-08-22T23:04:00,,2023-08-22T23:38:00,,G18,5,XRA,1,0,,1-8A,M1.1,2.1E-03,,,,,,,,1.1E-05,3405,4380,,2,-,0,20,0
2023-08-22T22:02:18, ,2023-08-22T22:02:18, ,2023-08-22T22:03:12, ,PAL,G,RBR,31,5,,245,160,,1.3E+03,120,,,,,,,,4370,,5,,0,21,0
2023-08-22T21:23:54, ,2023-08-22T21:23:54, ,2023-08-22T21:23:54, ,PAL,G,RBR,31,4,,245,110,,2.2E+02,110,,,,,,,,4360,,5,,0,22,0
2023-08-22T18:19:12, ,2023-08-22T18:19:12, ,2023-08-22T18:19:12, ,PAL,G,RBR,31,3,,245,110,,3.3E+02,110,,,,,,,,4350,,5,,0,23,0
2023-08-22T18:08:36, ,2023-08-22T18:08:36, ,2023-08-22T18:08:42, ,PAL,G,RBR,31,2,,245,100,,1.0E+02,100,,,,,,,,4340,,5,,0,24,0
2023-08-22T17:44:24, ,2023-08-22T17:44:24, ,2023-08-22T17:44:30, ,PAL,G,RBR,31,1,,245,110,,2.2E+02,110,,,,,,,,4330,,5,,0,25,0
2023-08-22T12:34:36, ,2023-08-22T12:49:24, ,2023-08-22T13:10:36, ,SVI,G,RNS,41,6,,245,130,,,0,,,,,,,,4250,,4,+,0,26,0
2023-08-22T12:13:12, ,2023-08-22T12:16:30, ,2023-08-22T12:16:30, ,SVI,G,RBR,31,5,,245,160,,1.8E+03,120,,,,,,,,4320,,2,-,0,27,0
2023-08-22T11:50:12, ,2023-08-22T11:50:18, ,2023-08-22T11:50:18, ,SVI,G,RBR,31,4,,245,370,,2.2E+03,220,,,,,,,,4320,,4,+,0,28,0
2023-08-22T11:37:18, ,, ,2023-08-22T17:28:00, ,SVI,C,RSP,55,7,,025-180,VI/3,,,,,,,,,,,4320,,4,+,0,29,0
2023-08-22T11:28:12, ,, ,2023-08-22T23:22:00, ,SAG,C,RSP,55,4,,025-054,VI/1,,,,,,,,,,,4320,,2,-,0,30,0
2023-08-22T10:56:12, ,, ,2023-08-22T10:56:48, ,SVI,C,RSP,51,6,,025-055,III/1,,,,,,,,,,,4310,,4,+,0,31,0
2023-08-22T10:56:12, ,, ,2023-08-22T10:56:36, ,SAG,C,RSP,51,3,,025-054,III/1,,,,,,,,,,,4310,,2,-,0,32,0
2023-08-22T10:25:24, ,2023-08-22T10:25:42, ,2023-08-22T10:26:06, ,SVI,G,RBR,31,3,,245,1000,,1.2E+04,330,,,,,,,3405,4300,,5,,0,33,0
2023-08-22T10:23:00, ,2023-08-22T10:24:00, ,2023-08-22T10:27:00, ,SVI,3,FLA,10,2,N08W26,,SF,,,14,,,,,,11,3405,4300,,5,,0,34,0
2023-08-22T10:22:54, ,, ,2023-08-22T10:30:36, ,SVI,C,RSP,51,5,,025-180,III/3,,,,,,,,,,3405,4300,,4,+,0,35,0
2023-08-22T10:22:30, ,, ,2023-08-22T10:30:42, ,SAG,C,RSP,51,2,,025-180,III/2,,,,,,,,,,3405,4300,,2,-,0,36,0
2023-08-22T10:18:00,,2023-08-22T10:26:00,,2023-08-22T10:31:00,,G16,5,XRA,1,0,,1-8A,C1.6,1.1E-03,,,,,,,,1.6E-06,3405,4300,,4,+,0,37,0
2023-08-22T10:18:00,,2023-08-22T10:26:00,,2023-08-22T10:31:00,,G18,5,XRA,1,0,,1-8A,C1.6,1.1E-03,,,,,,,,1.6E-06,3405,4300,,2,-,0,38,0
2023-08-22T10:09:00, ,, ,2023-08-22T22:44:30, ,SAG,C,RSP,54,1,,115-141,CTM/1,,,,,,,,,,,4310,,5,,0,39,0
2023-08-22T09:23:48, ,2023-08-22T09:23:48, ,2023-08-22T09:23:54, ,SVI,G,RBR,32,2,,410,140,,6.6E+02,130,,,,,,,,4290,,5,,0,40,0
2023-08-22T09:15:00,,2023-08-22T09:22:00,,2023-08-22T09:27:00,,G16,5,XRA,1,0,,1-8A,C1.2,8.5E-04,,,,,,,,1.2E-06,,4290,,4,+,0,41,0
2023-08-22T09:15:00,,2023-08-22T09:22:00,,2023-08-22T09:27:00,,G18,5,XRA,1,0,,1-8A,C1.3,8.6E-04,,,,,,,,1.3E-06,,4290,,2,-,0,42,0
2023-08-22T08:55:48, ,, ,2023-08-22T08:56:06, ,LEA,C,RSP,51,3,,025-180,III/1,,,,,,,,,,,4280,,2,-,0,43,0
2023-08-22T08:55:36, ,, ,2023-08-22T08:56:18, ,SVI,C,RSP,51,4,,025-083,III/2,,,,,,,,,,,4280,,4,+,0,44,0
2023-08-22T08:03:54, ,, ,2023-08-22T08:06:06, ,SVI,C,RSP,51,3,,025-059,III/1,,,,,,,,,,,4270,,5,,0,45,0
2023-08-22T07:49:00, ,2023-08-22T07:49:00, ,2023-08-22T08:17:00, ,SVI,3,FLA,10,1,N09E63,,SF,,,14,,,,,,11,3413,4260,,5,,0,46,0
2023-08-22T07:43:00,,2023-08-22T07:50:00,,2023-08-22T07:58:00,,G16,5,XRA,1,0,,1-8A,C2.0,1.3E-03,,,,,,,,2.0E-06,3413,4260,,4,+,0,47,0
2023-08-22T07:43:00,,2023-08-22T07:50:00,,2023-08-22T07:58:00,,G18,5,XRA,1,0,,1-8A,C2.0,1.3E-03,,,,,,,,2.0E-06,3413,4260,,2,-,0,48,0
2023-08-22T05:10:06, ,, ,2023-08-22T05:11:00, ,SVI,U,RSP,51,2,,025-061,III/1,,,,,,,,,,,4240,,5,,0,49,0
2023-08-22T04:26:42, ,, ,2023-08-22T17:28:00, ,SVI,C,RSP,54,1,,025-180,CTM/2,,,,,,,,,,,4230,,5,,0,50,0
2023-08-22T04:26:30, ,2023-08-22T05:43:30, ,2023-08-22T05:43:30, ,SVI,G,RNS,41,1,,245,310,,,0,,,,,,,,4250,,2,-,0,51,0
2023-08-22T04:18:06, ,2023-08-22T04:19:30, ,2023-08-22T04:37:42, ,LEA,G,RNS,42,2,,410,130,,,0,,,,,,,,4250,,5,,0,52,0
2023-08-22T03:52:24, ,, ,2023-08-22T04:27:42, ,LEA,C,RSP,55,2,,025-180,VI/1,,,,,,,,,,,4230,,5,,0,53,0
2023-08-22T00:00:00, ,, ,2023-08-22T09:59:00, ,LEA,C,RSP,54,1,,060-180,CTM/2,,,,,,,,,,3413,4200,,5,,0,54,0
2023-08-21T23:48:00,,2023-08-22T00:00:00,,2023-08-22T00:07:00,,G18,5,XRA,1,0,,1-8A,C5.7,6.4E-03,,,,,,,,5.7E-06,,4210,,2,-,0,55,0
2023-08-21T23:47:00,,2023-08-22T00:00:00,,2023-08-22T00:07:00,,G16,5,XRA,1,0,,1-8A,C5.7,6.7E-03,,,,,,,,5.7E-06,,4210,,4,+,0,56,0
2023-08-21T23:32:00, ,2023-08-21T23:36:00, ,2023-08-21T23:55:00, ,HOL,3,FLA,10,3,N08E69,,SF,,,14,,,,,,11,3413,4200,,5,,0,57,0
2023-08-21T23:23:00,,2023-08-21T23:43:00,,2023-08-21T23:47:00,,G16,5,XRA,1,0,,1-8A,C4.7,5.8E-03,,,,,,,,4.7E-06,3413,4200,,4,+,0,58,0
2023-08-21T23:23:00,,2023-08-21T23:43:00,,2023-08-21T23:48:00,,G18,5,XRA,1,0,,1-8A,C4.7,5.8E-03,,,,,,,,4.7E-06,3413,4200,,2,-,0,59,0
2023-08-21T20:53:54, ,, ,2023-08-21T21:54:24, ,SAG,C,RSP,55,5,,025-075,VI/1,,,,,,,,,,,4190,,5,,0,60,0
2023-08-21T19:58:06, ,2023-08-21T20:12:06, ,2023-08-21T23:16:06, ,PAL,G,RNS,41,4,,245,890,,,0,,,,,,,,4090,,2,-,0,61,0
2023-08-21T19:56:30, ,, ,2023-08-21T20:15:18, ,SAG,C,RSP,55,4,,025-075,VI/1,,,,,,,,,,,4180,,5,,0,62,0
