date,afred_1_day,afred_2_day,afred_3_day,record_Id,record_Id_0
,,,,0,
2023-08-22,8,7,7,1,0
2023-08-21,8,8,7,2,0
2023-08-20,8,8,8,3,0
2023-08-19,8,6,5,4,0
2023-08-18,10,8,6,5,0
2023-08-17,10,7,6,6,0
2023-08-16,14,10,7,7,0
2023-08-15,9,14,10,8,0
2023-08-14,6,9,14,9,0
2023-08-13,5,6,9,10,0
2023-08-12,5,5,6,11,0
2023-08-11,6,5,7,12,0
2023-08-10,6,6,5,13,0
2023-08-09,8,6,6,14,0
2023-08-08,14,8,6,15,0
2023-08-07,24,14,9,16,0
2023-08-06,9,14,9,17,0
2023-08-05,9,9,14,18,0
2023-08-04,20,13,9,19,0
2023-08-03,10,20,13,20,0
2023-08-02,9,13,20,21,0
2023-08-01,14,9,6,22,0
2023-07-31,23,14,9,23,0
2023-07-30,8,23,14,24,0
2023-07-29,11,8,23,25,0
2023-07-28,8,11,8,26,0
2023-07-27,6,6,12,27,0
2023-07-26,17,8,6,28,0
2023-07-25,15,18,8,29,0
2023-07-24,10,8,18,30,0
