begin_datetime,begin_quality,max_datetime,max_quality,end_datetime,end_quality,observatory,quality,type,coded_type,obsid,location,frequency,particulars1,particulars2,particulars3,particulars4,particulars5,particulars6,particulars7,particulars8,particulars9,particulars10,region,bin,age,status_code,status_text,change_flag,record_Id,record_Id_0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
2023-09-03T02:25:00,,2023-09-03T02:32:00,,2023-09-03T02:38:00,,G16,5,XRA,1,0,,1-8A,C1.0,7.2E-04,,,,,,,,1.0E-06,3413,6270,,4,+,0,1,0
2023-09-03T02:25:00,,2023-09-03T02:32:00,,2023-09-03T02:39:00,,G18,5,XRA,1,0,,1-8A,C1.0,7.8E-04,,,,,,,,1.0E-06,3413,6270,,2,-,0,2,0
2023-09-03T01:38:54, ,, ,2023-09-03T01:39:06, ,LEA,C,RSP,51,2,,025-110,III/1,,,,,,,,,,,6260,,4,+,0,3,0
2023-09-03T01:38:54, ,, ,2023-09-03T01:39:18, ,PAL,C,RSP,51,2,,025-075,III/1,,,,,,,,,,,6260,,2,-,0,4,0
2023-09-03T00:58:00,,2023-09-03T01:04:00,,2023-09-03T01:09:00,,G16,5,XRA,1,0,,1-8A,C1.5,8.9E-04,,,,,,,,1.5E-06,3413,6250,,4,+,0,5,0
2023-09-03T00:58:00,,2023-09-03T01:04:00,,2023-09-03T01:09:00,,G18,5,XRA,1,0,,1-8A,C1.5,4.6E-04,,,,,,,,1.5E-06,3413,6250,,2,-,0,6,0
2023-09-03T00:16:42, ,, ,2023-09-03T00:19:24, ,PAL,C,RSP,51,1,,025-075,III/2,,,,,,,,,,,6240,,2,-,0,7,0
2023-09-03T00:16:36, ,, ,2023-09-03T00:29:24, ,LEA,C,RSP,51,1,,025-156,III/2,,,,,,,,,,,6240,,4,+,0,8,0
2023-09-03T00:14:00,,2023-09-03T00:23:00,,2023-09-03T00:33:00,,G16,5,XRA,1,0,,1-8A,M1.1,8.5E-03,,,,,,,,1.1E-05,3413,6240,,5,,0,9,0
2023-09-03T00:14:00,,2023-09-03T00:23:00,,2023-09-03T00:33:00,,G18,5,XRA,1,0,,1-8A,M1.1,8.4E-03,,,,,,,,1.1E-05,3413,6240,,2,-,0,10,0
2023-09-03T00:04:00,,2023-09-03T00:11:00,,2023-09-03T00:14:00,,G18,5,XRA,1,0,,1-8A,C1.3,1.1E-03,,,,,,,,1.3E-06,3413,6230,,2,-,0,11,0
2023-09-03T00:02:00,,2023-09-03T00:11:00,,2023-09-03T00:14:00,,G16,5,XRA,1,0,,1-8A,C1.3,1.1E-03,,,,,,,,1.3E-06,3413,6230,,4,+,0,12,0
2023-09-02T22:33:00,,2023-09-02T22:41:00,,2023-09-02T22:49:00,,G18,5,XRA,1,0,,1-8A,C1.3,1.1E-03,,,,,,,,1.3E-06,3413,6220,,2,-,0,13,0
2023-09-02T22:32:00,,2023-09-02T22:41:00,,2023-09-02T22:49:00,,G16,5,XRA,1,0,,1-8A,C1.3,1.1E-03,,,,,,,,1.3E-06,3413,6220,,4,+,0,14,0
2023-09-02T21:07:42, ,, ,2023-09-02T21:08:00, ,SAG,C,RSP,51,7,,025-180,III/2,,,,,,,,,,,6200,,2,-,0,15,0
2023-09-02T21:07:36, ,2023-09-02T21:07:36, ,2023-09-02T21:07:42, ,PAL,G,RBR,31,1,,245,1100,,5.4E+03,610,,,,,,,,6200,,5,,0,16,0
2023-09-02T21:07:30, ,, ,2023-09-02T21:07:54, ,PAL,C,RSP,51,3,,025-180,III/2,,,,,,,,,,,6200,,4,+,0,17,0
2023-09-02T20:38:54, ,, ,2023-09-02T20:46:36, ,SAG,C,RSP,51,6,,025-151,III/1,,,,,,,,,,,6190,,2,-,0,18,0
2023-09-02T20:38:48, ,, ,2023-09-02T20:46:06, ,PAL,C,RSP,51,2,,025-087,III/2,,,,,,,,,,,6190,,4,+,0,19,0
2023-09-02T19:55:06, ,, ,2023-09-02T19:55:42, ,SAG,C,RSP,51,5,,025-054,III/2,,,,,,,,,,,6180,,2,-,0,20,0
2023-09-02T19:55:06, ,, ,2023-09-02T19:55:30, ,PAL,C,RSP,51,1,,025-072,III/2,,,,,,,,,,,6180,,4,+,0,21,0
2023-09-02T19:54:00,,2023-09-02T19:59:00,,2023-09-02T20:14:00,,G16,5,XRA,1,0,,1-8A,C1.2,1.4E-03,,,,,,,,1.2E-06,3413,6180,,4,+,0,22,0
2023-09-02T19:54:00,,2023-09-02T19:59:00,,2023-09-02T20:14:00,,G18,5,XRA,1,0,,1-8A,C1.2,1.5E-03,,,,,,,,1.2E-06,3413,6180,,2,-,0,23,0
2023-09-02T18:37:12, ,, ,2023-09-02T18:43:18, ,SAG,C,RSP,51,4,,025-051,III/1,,,,,,,,,,,6170,,5,,0,24,0
2023-09-02T17:04:06, ,, ,2023-09-02T17:27:18, ,SAG,C,RSP,55,3,,025-038,VI/1,,,,,,,,,,,6160,,5,,0,25,0
2023-09-02T16:31:00,,2023-09-02T16:40:00,,2023-09-02T16:44:00,,G16,5,XRA,1,0,,1-8A,C2.1,9.5E-04,,,,,,,,2.1E-06,3413,6150,,4,+,0,26,0
2023-09-02T16:31:00,,2023-09-02T16:40:00,,2023-09-02T16:44:00,,G18,5,XRA,1,0,,1-8A,C2.1,9.6E-04,,,,,,,,2.1E-06,3413,6150,,2,-,0,27,0
2023-09-02T15:44:18, ,, ,2023-09-02T16:00:42, ,SAG,C,RSP,55,2,,025-048,VI/1,,,,,,,,,,,6140,,5,,0,28,0
2023-09-02T15:08:06, ,, ,2023-09-02T15:08:42, ,SAG,C,RSP,51,1,,025-180,III/1,,,,,,,,,,,6130,,5,,0,29,0
2023-09-02T14:22:12, ,, ,2023-09-02T14:24:18, ,SVI,C,RSP,51,3,,025-084,III/1,,,,,,,,,,,6120,,5,,0,30,0
2023-09-02T14:10:00, ,2023-09-02T14:11:00,U,2023-09-02T14:13:00,A,SVI,3,FLA,10,3,N07W83,,SF,,,19,,,,,,11,3413,6110,,5,,0,31,0
2023-09-02T11:34:00, ,2023-09-02T11:35:00, ,2023-09-02T11:37:00, ,SVI,3,FLA,10,2,N13W84,,SF,,,15,,,,,,11,3413,6210,,5, ,0,32,0
2023-09-02T11:32:00,,2023-09-02T11:36:00,,2023-09-02T11:42:00,,G18,5,XRA,1,0,,1-8A,B9.4,5.5E-04,,,,,,,,9.4E-07,3417,6100,,2,-,0,33,0
2023-09-02T11:31:00,,2023-09-02T11:36:00,,2023-09-02T11:42:00,,G16,5,XRA,1,0,,1-8A,B9.3,5.9E-04,,,,,,,,9.3E-07,3417,6100,,4,+,0,34,0
2023-09-02T10:44:06, ,, ,2023-09-02T10:44:24, ,SVI,C,RSP,51,2,,025-084,III/1,,,,,,,,,,,6090,,5,,0,35,0
2023-09-02T07:09:00, ,2023-09-02T07:11:36, ,2023-09-02T07:19:12, ,LEA,G,RBR,35,2,,2695,200,,9.6E+04,150,,,,,,,3413,6080,,2,-,0,36,0
2023-09-02T07:04:24, ,2023-09-02T07:11:42, ,2023-09-02T07:19:36, ,SVI,G,RBR,35,1,,2695,230,,1.1E+05,160,,,,,,,3413,6080,,4,+,0,37,0
2023-09-02T06:59:18, ,2023-09-02T07:09:42, ,2023-09-02T07:16:06, ,SVI,G,RBR,38,1,,15400,170,,7.3E+04,120,,,,,,,3413,6080,,2,-,0,38,0
2023-09-02T06:59:12, ,2023-09-02T07:09:42, ,2023-09-02T07:14:54, ,LEA,G,RBR,38,2,,15400,180,,8.6E+04,130,,,,,,,3413,6080,,4,+,0,39,0
2023-09-02T06:59:00, ,2023-09-02T07:09:48, ,2023-09-02T07:15:48, ,LEA,G,RBR,37,2,,8800,210,,1.3E+05,140,,,,,,,3413,6080,,4,+,0,40,0
2023-09-02T06:58:18, ,2023-09-02T07:10:24, ,2023-09-02T07:19:00, ,LEA,G,RBR,36,2,,4995,280,,2.3E+05,180,,,,,,,3413,6080,,4,+,0,41,0
2023-09-02T06:58:06, ,2023-09-02T07:09:42, ,2023-09-02T07:19:12, ,SVI,G,RBR,37,1,,8800,410,,3.1E+05,250,,,,,,,3413,6080,,2,-,0,42,0
2023-09-02T06:56:12, ,2023-09-02T06:59:12, ,2023-09-02T06:59:42, ,SVI,G,RBR,32,1,,410,260,,2.0E+04,130,,,,,,,3413,6080,,2,-,0,43,0
2023-09-02T06:56:00, ,2023-09-02T07:20:00, ,2023-09-02T07:35:00, ,LEA,3,FLA,10,1,N10W82,,SF,UMB,,39,,,,,,11,3413,6080,,4,+,0,44,0
2023-09-02T06:55:48, ,2023-09-02T06:59:12, ,2023-09-02T06:59:54, ,LEA,G,RBR,32,2,,410,350,,3.3E+04,150,,,,,,,3413,6080,,4,+,0,45,0
2023-09-02T06:54:54, ,2023-09-02T07:10:30, ,2023-09-02T07:24:24, ,SVI,G,RBR,36,1,,4995,540,,5.3E+05,300,,,,,,,3413,6080,,2,-,0,46,0
2023-09-02T06:49:06, ,, ,2023-09-02T09:10:06, ,SVI,C,RSP,55,1,,025-180,VI/1,,,,,,,,,,3413,6080,,5,,0,47,0
2023-09-02T06:41:00, ,2023-09-02T06:53:00,U,2023-09-02T07:54:00,A,SVI,3,FLA,10,1,N06W89,,SF,ERU,DSD,30,,,,,,11,3413,6080,,2,-,0,48,0
2023-09-02T06:33:00,,2023-09-02T07:12:00,,2023-09-02T07:38:00,,G16,5,XRA,1,0,,1-8A,M3.3,7.5E-02,,,,,,,,3.3E-05,3413,6080,,4,+,0,49,0
2023-09-02T06:33:00,,2023-09-02T07:13:00,,2023-09-02T07:38:00,,G18,5,XRA,1,0,,1-8A,M3.3,7.5E-02,,,,,,,,3.3E-05,3413,6080,,2,-,0,50,0
2023-09-02T03:51:42, ,, ,2023-09-02T03:51:54, ,LEA,C,RSP,51,2,,072-180,III/1,,,,,,,,,,,6060,,5,,0,51,0
2023-09-02T03:51:42, ,2023-09-02T03:51:42, ,2023-09-02T03:51:42, ,LEA,G,RBR,31,1,,245,240,,7.3E+02,180,,,,,,,,6060,,5,,0,52,0
2023-09-02T00:00:00, ,, ,2023-09-02T06:34:54, ,LEA,C,RSP,55,1,,037-180,VI/1,,,,,,,,,,,6050,,5,,0,53,0
2023-09-01T23:13:18, ,, ,2023-09-01T23:59:00, ,LEA,C,RSP,55,5,,025-180,VI/1,,,,,,,,,,,6040,,5,,0,54,0
2023-09-01T22:19:06, ,, ,2023-09-01T22:24:06, ,SAG,C,RSP,51,1,,025-180,III/2,,,,,,,,,,,6010,,5,,0,55,0
2023-09-01T21:48:00,,2023-09-01T22:24:00,,2023-09-01T22:33:00,,G16,5,XRA,1,0,,1-8A,C7.3,7.6E-03,,,,,,,,7.4E-06,,6010,,4,+,0,56,0
2023-09-01T21:48:00,,2023-09-01T22:24:00,,2023-09-01T22:33:00,,G18,5,XRA,1,0,,1-8A,C7.3,7.6E-03,,,,,,,,7.3E-06,,6010,,2,-,0,57,0
2023-09-01T20:35:00,,2023-09-01T20:38:00,,2023-09-01T20:42:00,,G16,5,XRA,1,0,,1-8A,B9.3,4.6E-04,,,,,,,,9.3E-07,,6030,,5,,0,58,0
2023-09-01T20:35:00,,2023-09-01T20:38:00,,2023-09-01T20:42:00,,G18,5,XRA,1,0,,1-8A,B9.5,4.3E-04,,,,,,,,9.5E-07,,6030,,2,-,0,59,0
2023-09-01T20:19:00,,2023-09-01T20:27:00,,2023-09-01T20:35:00,,G16,5,XRA,1,0,,1-8A,C1.0,1.0E-03,,,,,,,,1.0E-06,,6000,,4,+,0,60,0
