time-tag,f10.7,smoothed_f10.7,record_Id,record_Id_0
,,,0,
2004-10,137.56,-1,1,0
2004-11,115.98,-1,2,0
2004-12,95.66,-1,3,0
2005-01,102.86,-1,4,0
2005-02,97.3,-1,5,0
2005-03,90.04,-1,6,0
2005-04,85.92,100,7,0
2005-05,101.65,96.2,8,0
2005-06,94.09,94.8,9,0
2005-07,100.64,93.8,10,0
2005-08,98.24,92.1,11,0
2005-09,109.55,90.6,12,0
2005-10,76.71,90.1,13,0
2005-11,86.38,89.4,14,0
2005-12,90.85,87.8,15,0
2006-01,83.32,86.1,16,0
2006-02,76.52,84.3,17,0
2006-03,75.5,82.2,18,0
2006-04,89.27,80.8,19,0
2006-05,80.83,80.7,20,0
2006-06,76.68,80.6,21,0
2006-07,75.88,80.6,22,0
2006-08,79.59,80.7,23,0
2006-09,78.02,80.6,24,0
2006-10,74.43,79.8,25,0
2006-11,86.43,78.8,26,0
2006-12,90.39,78.4,27,0
2007-01,83.76,78.1,28,0
2007-02,77.65,77.5,29,0
2007-03,72.24,76.6,30,0
2007-04,72.36,75.9,31,0
2007-05,74.36,74.9,32,0
2007-06,74.07,73.7,33,0
2007-07,71.48,72.7,34,0
2007-08,69.03,72.1,35,0
2007-09,66.98,71.8,36,0
2007-10,67.69,71.8,37,0
2007-11,69.39,71.4,38,0
2007-12,78.21,70.8,39,0
2008-01,74.02,70.2,40,0
2008-02,71.03,69.9,41,0
2008-03,72.99,69.8,42,0
2008-04,70.15,69.8,43,0
2008-05,68.32,69.8,44,0
2008-06,65.85,69.3,45,0
2008-07,65.67,68.8,46,0
2008-08,66.17,68.6,47,0
2008-09,67,68.3,48,0
2008-10,68.21,68.2,49,0
2008-11,68.53,68.2,50,0
2008-12,69.05,68.4,51,0
2009-01,69.7,68.6,52,0
2009-02,69.85,68.8,53,0
2009-03,69.1,69,54,0
2009-04,69.61,69.3,55,0
2009-05,70.35,69.7,56,0
2009-06,68.57,70.2,57,0
2009-07,68.19,71,58,0
2009-08,67.36,72.1,59,0
2009-09,70.32,73.3,60,0
2009-10,72.14,74.1,61,0
2009-11,73.66,74.5,62,0
2009-12,76.84,74.8,63,0
2010-01,81.31,75.5,64,0
2010-02,84.74,76.4,65,0
2010-03,82.96,77.4,66,0
2010-04,75.72,78.2,67,0
2010-05,73.63,79,68,0
2010-06,72.38,79.6,69,0
2010-07,79.6,80,70,0
2010-08,79.16,80.5,71,0
2010-09,80.95,82.6,72,0
2010-10,81.42,85.9,73,0
2010-11,82.56,88.4,74,0
2010-12,84.19,90.3,75,0
2011-01,83.39,91.9,76,0
2011-02,94.55,93.4,77,0
2011-03,124.26,96.6,78,0
2011-04,112.85,101.2,79,0
2011-05,95.68,106.5,80,0
2011-06,95.86,111.8,81,0
2011-07,94.34,116.4,82,0
2011-08,101.61,119,83,0
2011-09,135.27,119.2,84,0
2011-10,137.4,118.8,85,0
2011-11,153.5,119.9,86,0
2011-12,141.46,122,87,0
2012-01,134.79,124.9,88,0
2012-02,106.86,127.2,89,0
2012-03,115.71,127.3,90,0
2012-04,113.26,126.3,91,0
2012-05,121.4,124.3,92,0
2012-06,120.4,121.6,93,0
2012-07,137.61,119.9,94,0
2012-08,115.86,119.4,95,0
2012-09,123.4,119.1,96,0
2012-10,123.07,119.5,97,0
2012-11,121.15,120.4,98,0
2012-12,108.26,120.4,99,0
2013-01,126.83,119.1,100,0
2013-02,104.41,118.1,101,0
2013-03,111.36,117.2,102,0
2013-04,124.95,116.7,103,0
2013-05,131.43,118.3,104,0
2013-06,110.74,121.1,105,0
2013-07,115.53,124.3,106,0
2013-08,114.9,128.5,107,0
2013-09,102.83,132.9,108,0
2013-10,132.86,135.3,109,0
2013-11,148.78,136,110,0
2013-12,148.1,136.5,111,0
2014-01,162.69,137.9,112,0
2014-02,170.13,139.2,113,0
2014-03,150.5,141.4,114,0
2014-04,143.94,144.2,115,0
2014-05,130.11,145.4,116,0
2014-06,122.37,146.1,117,0
2014-07,137.85,145.7,118,0
2014-08,124.56,143.1,119,0
2014-09,146.57,140.4,120,0
2014-10,154.99,138.8,121,0
2014-11,155.74,137.8,122,0
2014-12,159.02,137.6,123,0
2015-01,142,136.6,124,0
2015-02,128.92,134.6,125,0
2015-03,126.89,131.9,126,0
