time_tag,kp_index,estimated_kp,kp,record_Id,record_Id_0
,,,,0,
2023-09-04T22:36:00,1,0.67,1M,1,0
2023-09-04T22:37:00,1,0.67,1M,2,0
2023-09-04T22:38:00,1,0.67,1M,3,0
2023-09-04T22:39:00,1,0.67,1M,4,0
2023-09-04T22:40:00,1,0.67,1M,5,0
2023-09-04T22:41:00,1,0.67,1M,6,0
2023-09-04T22:42:00,1,0.67,1M,7,0
2023-09-04T22:43:00,1,0.67,1M,8,0
2023-09-04T22:44:00,1,0.67,1M,9,0
2023-09-04T22:45:00,1,0.67,1M,10,0
2023-09-04T22:46:00,1,0.67,1M,11,0
2023-09-04T22:47:00,1,0.67,1M,12,0
2023-09-04T22:48:00,1,0.67,1M,13,0
2023-09-04T22:49:00,1,0.67,1M,14,0
2023-09-04T22:50:00,1,0.67,1M,15,0
2023-09-04T22:51:00,1,0.67,1M,16,0
2023-09-04T22:52:00,1,0.67,1M,17,0
2023-09-04T22:53:00,1,0.67,1M,18,0
2023-09-04T22:54:00,1,0.67,1M,19,0
2023-09-04T22:55:00,1,0.67,1M,20,0
2023-09-04T22:56:00,1,1,1Z,21,0
2023-09-04T22:57:00,1,1,1Z,22,0
2023-09-04T22:58:00,1,1,1Z,23,0
2023-09-04T22:59:00,1,1,1Z,24,0
2023-09-04T23:00:00,1,1,1Z,25,0
2023-09-04T23:01:00,1,1,1Z,26,0
2023-09-04T23:02:00,1,1,1Z,27,0
2023-09-04T23:03:00,1,1,1Z,28,0
2023-09-04T23:04:00,1,1,1Z,29,0
2023-09-04T23:05:00,1,1,1Z,30,0
2023-09-04T23:06:00,1,1,1Z,31,0
2023-09-04T23:07:00,1,1,1Z,32,0
2023-09-04T23:08:00,1,1.33,1P,33,0
2023-09-04T23:09:00,1,1.33,1P,34,0
2023-09-04T23:10:00,1,1.33,1P,35,0
2023-09-04T23:11:00,1,1.33,1P,36,0
2023-09-04T23:12:00,1,1.33,1P,37,0
2023-09-04T23:13:00,1,1.33,1P,38,0
2023-09-04T23:14:00,1,1.33,1P,39,0
2023-09-04T23:15:00,1,1,1Z,40,0
2023-09-04T23:16:00,1,1,1Z,41,0
2023-09-04T23:17:00,1,1,1Z,42,0
2023-09-04T23:18:00,1,1,1Z,43,0
2023-09-04T23:19:00,1,1,1Z,44,0
2023-09-04T23:20:00,1,1,1Z,45,0
2023-09-04T23:21:00,1,1,1Z,46,0
2023-09-04T23:22:00,1,1,1Z,47,0
2023-09-04T23:23:00,1,1.33,1P,48,0
2023-09-04T23:24:00,1,1.33,1P,49,0
2023-09-04T23:25:00,1,1.33,1P,50,0
2023-09-04T23:26:00,1,1.33,1P,51,0
2023-09-04T23:27:00,1,1.33,1P,52,0
2023-09-04T23:28:00,1,1.33,1P,53,0
2023-09-04T23:29:00,1,1.33,1P,54,0
2023-09-04T23:30:00,1,1.33,1P,55,0
2023-09-04T23:31:00,1,1.33,1P,56,0
2023-09-04T23:32:00,1,1,1Z,57,0
2023-09-04T23:33:00,1,1,1Z,58,0
2023-09-04T23:34:00,1,1,1Z,59,0
2023-09-04T23:35:00,1,1,1Z,60,0
2023-09-04T23:36:00,1,1,1Z,61,0
2023-09-04T23:37:00,1,1,1Z,62,0
2023-09-04T23:38:00,1,1,1Z,63,0
2023-09-04T23:39:00,1,1,1Z,64,0
2023-09-04T23:40:00,1,1,1Z,65,0
2023-09-04T23:41:00,1,1,1Z,66,0
2023-09-04T23:42:00,1,1.33,1P,67,0
2023-09-04T23:43:00,1,1.33,1P,68,0
2023-09-04T23:44:00,1,1.33,1P,69,0
2023-09-04T23:45:00,1,1.33,1P,70,0
2023-09-04T23:46:00,1,1,1Z,71,0
2023-09-04T23:47:00,1,1.33,1P,72,0
2023-09-04T23:48:00,1,1.33,1P,73,0
2023-09-04T23:49:00,1,1.33,1P,74,0
2023-09-04T23:50:00,1,1.33,1P,75,0
2023-09-04T23:51:00,1,1.33,1P,76,0
2023-09-04T23:52:00,1,1,1Z,77,0
2023-09-04T23:53:00,1,1,1Z,78,0
