begin_datetime,begin_quality,max_datetime,max_quality,end_datetime,end_quality,observatory,quality,type,coded_type,obsid,location,frequency,particulars1,particulars2,particulars3,particulars4,particulars5,particulars6,particulars7,particulars8,particulars9,particulars10,region,bin,age,status_code,status_text,change_flag,record_Id,record_Id_0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
2023-09-05T23:21:00,,2023-09-05T23:39:00,,2023-09-05T23:53:00,,G16,5,XRA,1,,N14W14,1-8A,M1.0,9.3E-03,,,,,,,,1.0E-05,3421,6790,,5,,0,1,0
2023-09-05T22:18:36, ,2023-09-05T22:19:30, ,2023-09-05T22:20:00, ,PAL,G,RBR,31,1,,245,200,,5.4E+03,120,,,,,,,3420,6780,,5,,0,2,0
2023-09-05T22:17:36, ,, ,2023-09-05T22:21:18, ,SAG,C,RSP,51,4,,025-180,III/2,,,,,,,,,,3420,6780,,2,-,0,3,0
2023-09-05T22:17:30, ,, ,2023-09-05T22:22:48, ,PAL,C,RSP,51,3,,025-180,III/3,,,,,,,,,,3420,6780,,4,+,0,4,0
2023-09-05T22:16:00, ,2023-09-05T22:20:00, ,2023-09-05T23:20:00, ,HOL,3,FLA,10,6,S20W07,,1N,,,133,,,,,,22,3420,6780,,5,,0,5,0
2023-09-05T22:13:00,,2023-09-05T22:22:00,,2023-09-05T22:46:00,,G16,5,XRA,1,0,,1-8A,C3.9,5.7E-03,,,,,,,,3.9E-06,3420,6780,,4,+,0,6,0
2023-09-05T22:13:00,,2023-09-05T22:22:00,,2023-09-05T22:46:00,,G18,5,XRA,1,0,,1-8A,C3.9,5.7E-03,,,,,,,,3.9E-06,3420,6780,,2,-,0,7,0
2023-09-05T20:34:36, ,, ,2023-09-05T20:34:54, ,PAL,C,RSP,51,2,,025-058,III/1,,,,,,,,,,,6770,,5,,0,8,0
2023-09-05T20:21:42, ,, ,2023-09-05T20:24:24, ,PAL,C,RSP,50,1,,025-066,II/2,1314,,,,,,,,,,6750,,4,+,0,9,0
2023-09-05T20:20:36, ,, ,2023-09-05T20:24:06, ,SAG,C,RSP,50,3,,025-144,II/2,2055,,,,,,,,,,6750,,2,-,0,10,0
2023-09-05T19:47:00, ,2023-09-05T19:51:00, ,2023-09-05T20:00:00, ,HOL,3,FLA,10,4,S09W24,,SF,DSD,,47,,,,,,11,3417,6730,,2,-,0,11,0
2023-09-05T19:36:00, ,2023-09-05T19:40:00, ,2023-09-05T20:07:00, ,HOL,3,FLA,10,5,N16W10,,1N,DSD,,118,,,,,,22,3421,6730,,4,+,0,12,0
2023-09-05T19:33:00,,2023-09-05T19:45:00,,2023-09-05T19:57:00,,G16,5,XRA,1,0,,1-8A,M1.2,1.1E-02,,,,,,,,1.2E-05,3421,6730,,4,+,0,13,0
2023-09-05T19:32:00,,2023-09-05T19:45:00,,2023-09-05T19:57:00,,G18,5,XRA,1,0,,1-8A,M1.2,1.1E-02,,,,,,,,1.2E-05,3421,6730,,2,-,0,14,0
2023-09-05T18:22:00,,2023-09-05T18:31:00,,2023-09-05T18:39:00,,G16,5,XRA,1,0,,1-8A,C3.6,6.5E-04,,,,,,,,3.6E-06,3421,6740,,4,+,0,15,0
2023-09-05T18:21:00,,2023-09-05T18:31:00,,2023-09-05T18:39:00,,G18,5,XRA,1,0,,1-8A,C3.6,4.0E-03,,,,,,,,3.6E-06,3421,6740,,2,-,0,16,0
2023-09-05T18:03:00, ,2023-09-05T18:24:00, ,2023-09-05T18:44:00, ,HOL,3,FLA,10,3,N15W09,,SN,ERU,,27,,,,,,12,3421,6720,,5,,0,17,0
2023-09-05T17:58:00,,2023-09-05T18:19:00,,2023-09-05T18:22:00,,G16,5,XRA,1,0,,1-8A,C3.3,1.2E-03,,,,,,,,3.3E-06,3421,6720,,4,+,0,18,0
2023-09-05T17:58:00,,2023-09-05T18:19:00,,2023-09-05T18:21:00,,G18,5,XRA,1,0,,1-8A,C3.3,1.4E-03,,,,,,,,3.3E-06,3421,6720,,2,-,0,19,0
2023-09-05T17:45:00, ,2023-09-05T17:45:00, ,2023-09-05T17:49:00, ,HOL,3,FLA,10,2,N15W05,,SF,ERU,,14,,,,,,11,3421,6710,,5,,0,20,0
