observed_date,region,latitude,longitude,location,carrington_longitude,old_carrington_longitude,area,spot_class,extent,number_spots,mag_class,mag_string,status,c_xray_events,m_xray_events,x_xray_events,proton_events,s_flares,impulse_flares_1,impulse_flares_2,impulse_flares_3,impulse_flares_4,protons,c_flare_probability,m_flare_probability,x_flare_probability,proton_probability,first_date,record_Id,record_Id_0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
2023-09-05,3416,-19,-81,S19W81,51,50,,,,,,,f,0,0,0,,0,0,0,0,0,,0,0,0,0,2023-08-25T16:48:41,1,0
2023-09-05,3417,-6,-34,S06W34,4,6,30,Cro,11,4,B,,f,0,0,0,,0,0,0,0,0,0,15,1,1,1,2023-08-28T15:34:28,2,0
2023-09-05,3418,21,-18,N21W18,348,348,5,Axx,1,1,A,,f,0,0,0,,0,0,0,0,0,,5,1,1,1,2023-08-30T16:40:19,3,0
2023-09-05,3419,24,-80,N24W80,50,49,10,Bxo,5,3,B,,f,1,0,0,,1,0,0,0,0,0,10,1,1,1,2023-09-02T09:06:18,4,0
2023-09-05,3420,-19,-12,S19W12,342,342,10,Axx,2,3,A,,f,1,0,0,,0,1,0,0,0,0,5,1,1,1,2023-09-03T15:30:01,5,0
2023-09-05,3421,14,-14,N14W14,344,344,140,Dai,9,15,B,,f,3,3,0,,5,3,0,0,0,0,45,10,1,1,2023-09-03T23:17:52,6,0
2023-09-05,3422,13,7,N13E07,323,322,30,Dro,6,5,B,,f,0,0,0,,2,0,0,0,0,0,15,1,1,1,2023-09-04T09:24:02,7,0
2023-09-05,3423,16,46,N16E46,284,283,90,Dao,5,8,B,,f,0,0,0,,0,0,0,0,0,,25,5,1,1,2023-09-04T09:25:16,8,0
2023-09-05,3424,16,74,N16E74,256,,10,Bxo,1,2,B,,f,1,0,0,,0,0,0,0,0,0,10,1,1,1,2023-09-05T18:39:22,9,0
2023-09-04,3415,-9,-97,S09W97,81,80,120,Cso,4,2,B,,d,0,0,0,,0,0,0,0,0,,0,0,0,0,2023-08-22T19:19:32,10,0
2023-09-04,3416,-19,-66,S19W66,50,49,,,,,,,f,0,0,0,,0,0,0,0,0,,0,0,0,0,2023-08-25T16:48:41,11,0
2023-09-04,3417,-8,-22,S08W22,6,5,40,Cao,10,4,B,,f,1,0,0,,2,0,0,0,0,0,20,1,0,1,2023-08-28T15:34:28,12,0
2023-09-04,3418,21,-4,N21W04,348,347,10,Hrx,1,1,A,,f,0,0,0,,1,0,0,0,0,0,5,1,0,1,2023-08-30T16:40:19,13,0
2023-09-04,3419,24,-65,N24W65,49,48,10,Bxo,3,3,B,,f,0,0,0,,0,0,0,0,0,,5,0,0,1,2023-09-02T09:06:18,14,0
2023-09-04,3420,-20,2,S20E02,342,341,20,Cro,3,1,B,,f,0,0,0,,0,0,0,0,0,,15,1,0,1,2023-09-03T15:30:01,15,0
2023-09-04,3421,15,0,N15W00,344,343,20,Dai,8,9,B,,f,3,0,0,,3,0,0,0,0,0,45,10,0,1,2023-09-03T23:17:52,16,0
2023-09-04,3422,13,22,N13E22,322,,30,Cro,5,6,B,,f,1,0,0,,1,0,0,0,0,0,5,1,0,1,2023-09-04T09:24:02,17,0
2023-09-04,3423,16,61,N16E61,283,,10,Bxo,5,6,B,,f,0,0,0,,2,0,0,0,0,0,5,0,0,1,2023-09-04T09:25:16,18,0
2023-09-03,3413,10,-103,N10W0*,100,99,150,Dso,5,5,B,,d,7,2,0,,0,0,0,0,0,0,0,0,0,0,2023-08-21T09:24:33,19,0
2023-09-03,3415,-9,-83,S09W83,80,80,120,Cso,4,2,B,,f,0,0,0,,0,0,0,0,0,,25,5,1,1,2023-08-22T19:19:32,20,0
2023-09-03,3416,-19,-52,S19W52,49,48,,,,,,,f,0,0,0,,0,0,0,0,0,,0,0,0,0,2023-08-25T16:48:41,21,0
2023-09-03,3417,-8,-8,S08W08,5,3,40,Cso,10,4,B,,f,1,0,0,,1,0,0,0,0,0,20,1,1,1,2023-08-28T15:34:28,22,0
2023-09-03,3418,21,10,N21E10,347,346,10,Hsx,1,1,A,,f,0,0,0,,0,0,0,0,0,,5,1,1,1,2023-08-30T16:40:19,23,0
2023-09-03,3419,24,-51,N24W51,48,47,10,Bxo,3,3,B,,f,0,0,0,,0,0,0,0,0,,15,1,1,1,2023-09-02T09:06:18,24,0
2023-09-03,3420,-20,16,S20E16,341,,30,Cso,3,4,B,,f,0,0,0,,0,0,0,0,0,,25,1,1,1,2023-09-03T15:30:01,25,0
2023-09-03,3421,15,14,N15E14,343,,20,Bxo,3,5,B,,f,0,0,0,,0,0,0,0,0,,10,1,1,1,2023-09-03T23:17:52,26,0
2023-09-02,3413,10,-89,N10W89,99,99,150,Dso,5,5,B,,f,3,1,0,,3,0,0,0,0,0,75,25,5,1,2023-08-21T09:24:33,27,0
2023-09-02,3415,-9,-70,S09W70,80,80,120,Dso,4,2,B,,f,0,0,0,,0,0,0,0,0,,25,5,1,1,2023-08-22T19:19:32,28,0
2023-09-02,3416,-19,-38,S19W38,48,47,,,,,,,f,0,0,0,,0,0,0,0,0,,0,0,0,0,2023-08-25T16:48:41,29,0
2023-09-02,3417,-8,7,S08E07,3,1,80,Dsi,9,16,B,,f,0,0,0,,0,0,0,0,0,0,25,5,1,1,2023-08-28T15:34:28,30,0
2023-09-02,3418,21,24,N21E24,346,346,10,Hsx,1,1,A,,f,0,0,0,,0,0,0,0,0,,5,1,1,1,2023-08-30T16:40:19,31,0
2023-09-02,3419,24,-37,N24W37,47,,10,Bxo,2,3,B,,f,0,0,0,,0,0,0,0,0,,5,1,1,1,2023-09-02T09:06:18,32,0
2023-09-01,3413,10,-76,N10W76,99,98,260,Dkc,5,12,B,,f,1,1,0,,1,0,0,0,0,0,70,25,5,25,2023-08-21T09:24:33,33,0
2023-09-01,3415,-9,-57,S09W57,80,80,190,Dao,5,4,B,,f,0,0,0,,1,0,0,0,0,0,25,5,1,1,2023-08-22T19:19:32,34,0
2023-09-01,3416,-19,-24,S19W24,47,47,10,Axx,1,1,A,,f,0,0,0,,0,0,0,0,0,,5,1,1,1,2023-08-25T16:48:41,35,0
2023-09-01,3417,-8,22,S08E22,1,1,100,Cso,11,15,B,,f,0,0,0,,0,0,0,0,0,,25,5,1,1,2023-08-28T15:34:28,36,0
2023-09-01,3418,22,37,N22E37,346,346,20,Hsx,2,1,A,,f,0,0,0,,0,0,0,0,0,,10,1,1,1,2023-08-30T16:40:19,37,0
2023-08-31,3412,30,-92,N30W92,128,127,,,,,,,d,0,0,0,,0,0,0,0,0,,0,0,0,0,2023-08-18T17:47:24,38,0
2023-08-31,3413,9,-62,N09W62,98,97,280,Dkc,5,12,B,,f,3,0,0,,0,0,0,0,0,0,65,20,5,1,2023-08-21T09:24:33,39,0
2023-08-31,3415,-9,-44,S09W44,80,80,200,Dao,5,5,B,,f,0,0,0,,0,0,0,0,0,,25,5,1,1,2023-08-22T19:19:32,40,0
2023-08-31,3416,-19,-11,S19W11,47,42,20,Hsx,1,1,A,,f,0,0,0,,0,0,0,0,0,,5,1,1,1,2023-08-25T16:48:41,41,0
2023-08-31,3417,-8,35,S08E35,1,2,120,Cao,8,8,B,,f,0,0,0,,0,0,0,0,0,,20,1,1,1,2023-08-28T15:34:28,42,0
2023-08-31,3418,22,50,N22E50,346,345,30,Hsx,1,1,A,,f,0,0,0,,0,0,0,0,0,,5,1,1,1,2023-08-30T16:40:19,43,0
2023-08-30,3412,30,-78,N30W78,127,130,30,Hsx,1,1,A,,f,0,0,0,,0,0,0,0,0,,5,1,1,1,2023-08-18T17:47:24,44,0
2023-08-30,3413,9,-48,N09W48,97,98,230,Dao,4,14,B,,f,2,0,0,,1,1,0,0,0,0,25,5,1,1,2023-08-21T09:24:33,45,0
2023-08-30,3414,-10,-93,S10W93,143,142,,,,,,,d,0,0,0,,0,0,0,0,0,,0,0,0,0,2023-08-21T17:59:31,46,0
2023-08-30,3415,-9,-31,S09W31,80,80,210,Dao,5,10,B,,f,1,0,0,,1,0,0,0,0,0,25,5,1,1,2023-08-22T19:19:32,47,0
2023-08-30,3416,-18,6,S18E06,42,45,50,Hsx,1,1,A,,f,0,0,0,,0,0,0,0,0,,5,1,1,1,2023-08-25T16:48:41,48,0
2023-08-30,3417,-5,46,S05E46,2,4,150,Dao,7,7,B,,f,1,0,0,,1,0,0,0,0,0,25,5,1,1,2023-08-28T15:34:28,49,0
2023-08-30,3418,22,63,N22E63,345,,30,Hsx,10,1,A,,f,0,0,0,,0,0,0,0,0,,5,1,1,1,2023-08-30T16:40:19,50,0
2023-08-29,3412,30,-67,N30W67,130,133,30,Hsx,1,1,A,,f,0,0,0,,0,0,0,0,0,,5,1,1,1,2023-08-18T17:47:24,51,0
2023-08-29,3413,9,-36,N09W36,98,101,230,Dao,5,14,B,,f,2,0,0,,1,0,0,0,0,0,30,5,1,1,2023-08-21T09:24:33,52,0
2023-08-29,3414,-10,-79,S10W79,142,141,,,,,,,f,0,0,0,,0,0,0,0,0,,0,0,0,0,2023-08-21T17:59:31,53,0
