time_tag,kp_index,estimated_kp,kp,record_Id,record_Id_0
,,,,0,
2023-09-05T21:58:00,1,1.33,1P,1,0
2023-09-05T21:59:00,1,1.33,1P,2,0
2023-09-05T22:00:00,1,1.33,1P,3,0
2023-09-05T22:01:00,1,1.33,1P,4,0
2023-09-05T22:02:00,1,1.33,1P,5,0
2023-09-05T22:03:00,1,1.33,1P,6,0
2023-09-05T22:04:00,1,1.33,1P,7,0
2023-09-05T22:05:00,1,1.33,1P,8,0
2023-09-05T22:06:00,1,1.33,1P,9,0
2023-09-05T22:07:00,1,1.33,1P,10,0
2023-09-05T22:08:00,1,1.33,1P,11,0
2023-09-05T22:09:00,1,1.33,1P,12,0
2023-09-05T22:10:00,1,1.33,1P,13,0
2023-09-05T22:11:00,1,1.33,1P,14,0
2023-09-05T22:12:00,1,1.33,1P,15,0
2023-09-05T22:13:00,2,2,2Z,16,0
2023-09-05T22:14:00,2,1.67,2M,17,0
2023-09-05T22:15:00,2,1.67,2M,18,0
2023-09-05T22:16:00,2,2,2Z,19,0
2023-09-05T22:17:00,2,2,2Z,20,0
2023-09-05T22:18:00,2,2,2Z,21,0
2023-09-05T22:19:00,2,2,2Z,22,0
2023-09-05T22:20:00,2,2,2Z,23,0
2023-09-05T22:21:00,2,2,2Z,24,0
2023-09-05T22:22:00,2,2,2Z,25,0
2023-09-05T22:23:00,2,2,2Z,26,0
2023-09-05T22:24:00,2,2,2Z,27,0
2023-09-05T22:25:00,2,2,2Z,28,0
2023-09-05T22:26:00,2,2,2Z,29,0
2023-09-05T22:27:00,2,2,2Z,30,0
2023-09-05T22:28:00,2,2,2Z,31,0
2023-09-05T22:29:00,2,2,2Z,32,0
2023-09-05T22:30:00,2,2,2Z,33,0
2023-09-05T22:31:00,2,2,2Z,34,0
2023-09-05T22:32:00,2,2,2Z,35,0
2023-09-05T22:33:00,2,2,2Z,36,0
2023-09-05T22:34:00,2,2,2Z,37,0
2023-09-05T22:35:00,2,2,2Z,38,0
2023-09-05T22:36:00,2,2,2Z,39,0
2023-09-05T22:37:00,2,2,2Z,40,0
2023-09-05T22:38:00,2,2,2Z,41,0
2023-09-05T22:39:00,2,2,2Z,42,0
2023-09-05T22:40:00,2,2,2Z,43,0
2023-09-05T22:41:00,2,2,2Z,44,0
2023-09-05T22:42:00,2,2,2Z,45,0
2023-09-05T22:43:00,2,2,2Z,46,0
2023-09-05T22:44:00,2,2,2Z,47,0
2023-09-05T22:45:00,2,2,2Z,48,0
2023-09-05T22:46:00,2,2,2Z,49,0
2023-09-05T22:47:00,2,2,2Z,50,0
2023-09-05T22:48:00,2,2,2Z,51,0
2023-09-05T22:49:00,2,2,2Z,52,0
2023-09-05T22:50:00,2,2,2Z,53,0
2023-09-05T22:51:00,2,2,2Z,54,0
2023-09-05T22:52:00,2,2,2Z,55,0
2023-09-05T22:53:00,2,2,2Z,56,0
2023-09-05T22:54:00,2,2,2Z,57,0
2023-09-05T22:55:00,2,2,2Z,58,0
2023-09-05T22:56:00,2,2,2Z,59,0
2023-09-05T22:57:00,2,2,2Z,60,0
2023-09-05T22:58:00,2,2,2Z,61,0
2023-09-05T22:59:00,2,2,2Z,62,0
2023-09-05T23:00:00,2,2.33,2P,63,0
2023-09-05T23:01:00,2,2.33,2P,64,0
2023-09-05T23:02:00,2,2.33,2P,65,0
2023-09-05T23:03:00,2,2.33,2P,66,0
2023-09-05T23:04:00,2,2.33,2P,67,0
2023-09-05T23:05:00,2,2.33,2P,68,0
2023-09-05T23:06:00,2,2.33,2P,69,0
2023-09-05T23:07:00,2,2.33,2P,70,0
2023-09-05T23:08:00,2,2.33,2P,71,0
2023-09-05T23:09:00,2,2.33,2P,72,0
2023-09-05T23:10:00,2,2.33,2P,73,0
2023-09-05T23:11:00,2,2.33,2P,74,0
2023-09-05T23:12:00,2,2.33,2P,75,0
2023-09-05T23:13:00,2,2.33,2P,76,0
2023-09-05T23:14:00,2,2.33,2P,77,0
2023-09-05T23:15:00,2,2.33,2P,78,0
2023-09-05T23:16:00,2,2.33,2P,79,0
2023-09-05T23:17:00,2,2.33,2P,80,0
2023-09-05T23:18:00,2,2.33,2P,81,0
2023-09-05T23:19:00,2,2.33,2P,82,0
2023-09-05T23:20:00,2,2.33,2P,83,0
2023-09-05T23:21:00,2,2.33,2P,84,0
2023-09-05T23:22:00,2,2.33,2P,85,0
2023-09-05T23:23:00,2,2.33,2P,86,0
2023-09-05T23:24:00,2,2.33,2P,87,0
2023-09-05T23:25:00,2,2.33,2P,88,0
2023-09-05T23:26:00,2,2.33,2P,89,0
2023-09-05T23:27:00,2,2.33,2P,90,0
2023-09-05T23:28:00,2,2.33,2P,91,0
2023-09-05T23:29:00,2,2.33,2P,92,0
2023-09-05T23:30:00,2,2.33,2P,93,0
2023-09-05T23:31:00,2,2.33,2P,94,0
2023-09-05T23:32:00,2,2.33,2P,95,0
2023-09-05T23:33:00,2,2.33,2P,96,0
2023-09-05T23:34:00,2,2.33,2P,97,0
2023-09-05T23:35:00,2,2.33,2P,98,0
2023-09-05T23:36:00,2,2.33,2P,99,0
2023-09-05T23:37:00,2,2.33,2P,100,0
2023-09-05T23:38:00,2,2.33,2P,101,0
2023-09-05T23:39:00,2,2.33,2P,102,0
2023-09-05T23:40:00,2,2.33,2P,103,0
2023-09-05T23:41:00,2,2.33,2P,104,0
2023-09-05T23:42:00,2,2.33,2P,105,0
2023-09-05T23:43:00,2,2.33,2P,106,0
2023-09-05T23:44:00,2,2.33,2P,107,0
2023-09-05T23:45:00,2,2.33,2P,108,0
2023-09-05T23:46:00,2,2.33,2P,109,0
2023-09-05T23:47:00,2,2.33,2P,110,0
2023-09-05T23:48:00,2,2.33,2P,111,0
2023-09-05T23:49:00,2,2.33,2P,112,0
2023-09-05T23:50:00,2,2.33,2P,113,0
2023-09-05T23:51:00,2,2.33,2P,114,0
2023-09-05T23:52:00,2,2.33,2P,115,0
2023-09-05T23:53:00,2,2.33,2P,116,0
2023-09-05T23:54:00,2,2.33,2P,117,0
2023-09-05T23:55:00,2,2.33,2P,118,0
