date,afred_1_day,afred_2_day,afred_3_day,record_Id,record_Id_0
,,,,0,
2023-09-05,14,10,8,1,0
2023-09-04,10,8,10,2,0
2023-09-03,10,11,7,3,0
2023-09-02,25,12,11,4,0
2023-09-01,13,25,13,5,0
2023-08-31,10,11,25,6,0
2023-08-30,6,10,8,7,0
2023-08-29,6,6,10,8,0
2023-08-28,8,6,6,9,0
2023-08-27,10,8,6,10,0
2023-08-26,9,10,8,11,0
2023-08-25,5,8,8,12,0
2023-08-24,8,5,7,13,0
2023-08-23,7,7,5,14,0
2023-08-22,8,7,7,15,0
2023-08-21,8,8,7,16,0
2023-08-20,8,8,8,17,0
2023-08-19,8,6,5,18,0
2023-08-18,10,8,6,19,0
2023-08-17,10,7,6,20,0
2023-08-16,14,10,7,21,0
2023-08-15,9,14,10,22,0
2023-08-14,6,9,14,23,0
2023-08-13,5,6,9,24,0
2023-08-12,5,5,6,25,0
2023-08-11,6,5,7,26,0
2023-08-10,6,6,5,27,0
2023-08-09,8,6,6,28,0
2023-08-08,14,8,6,29,0
2023-08-07,24,14,9,30,0
