date,afred_1_day,afred_2_day,afred_3_day,record_Id,record_Id_0
,,,,0,
2023-08-06,9,14,9,1,0
2023-08-05,9,9,14,2,0
2023-08-04,20,13,9,3,0
2023-08-03,10,20,13,4,0
2023-08-02,9,13,20,5,0
2023-08-01,14,9,6,6,0
2023-07-31,23,14,9,7,0
2023-07-30,8,23,14,8,0
2023-07-29,11,8,23,9,0
2023-07-28,8,11,8,10,0
2023-07-27,6,6,12,11,0
2023-07-26,17,8,6,12,0
2023-07-25,15,18,8,13,0
2023-07-24,10,8,18,14,0
2023-07-23,9,10,5,15,0
2023-07-22,8,9,10,16,0
2023-07-21,15,8,9,17,0
2023-07-20,15,11,8,18,0
2023-07-19,20,15,10,19,0
2023-07-18,10,18,15,20,0
2023-07-17,19,10,8,21,0
2023-07-16,13,18,10,22,0
2023-07-15,8,9,19,23,0
2023-07-14,18,10,5,24,0
2023-07-13,12,16,10,25,0
2023-07-12,10,12,16,26,0
2023-07-11,10,11,8,27,0
2023-07-10,6,10,11,28,0
2023-07-09,8,8,5,29,0
2023-07-08,11,9,8,30,0
