observed_date,region,latitude,longitude,location,carrington_longitude,old_carrington_longitude,area,spot_class,extent,number_spots,mag_class,mag_string,status,c_xray_events,m_xray_events,x_xray_events,proton_events,s_flares,impulse_flares_1,impulse_flares_2,impulse_flares_3,impulse_flares_4,protons,c_flare_probability,m_flare_probability,x_flare_probability,proton_probability,first_date,record_Id,record_Id_0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
2023-08-06,3388,-23,-71,S23W71,78,78,10,Axx,1,1,A,,f,0,0,0,,0,0,0,0,0,,5,1,1,1,2023-07-27T13:35:52,1,0
2023-08-06,3391,23,-27,N23W27,34,34,80,Hsx,2,1,A,,f,0,0,0,,0,0,0,0,0,,5,1,1,1,2023-07-29T07:38:20,2,0
2023-08-06,3394,-22,23,S22E23,344,344,160,Cso,7,4,B,,f,0,0,0,,1,0,0,0,0,0,20,1,1,1,2023-08-03T18:00:50,3,0
2023-08-06,3392,10,-35,N10W35,42,40,130,Cao,5,6,B,,f,0,0,0,,0,0,0,0,0,,25,5,1,1,2023-07-31T07:31:31,4,0
2023-08-06,3395,14,39,N14E39,327,328,90,Cso,7,4,B,,f,0,0,0,,0,0,0,0,0,,20,1,1,1,2023-08-03T18:05:48,5,0
2023-08-06,3386,11,-90,N11W90,96,96,250,Dki,5,3,BD,,f,0,1,0,,3,0,0,0,0,0,80,45,10,25,2023-07-26T09:41:01,6,0
2023-08-06,3389,-9,-61,S09W61,68,67,,,,,,,f,0,0,0,,0,0,0,0,0,,0,0,0,0,2023-07-27T13:38:16,7,0
2023-08-06,3387,20,-62,N20W62,69,69,140,Dsi,6,8,B,,f,2,0,0,,9,1,0,0,0,0,60,20,1,1,2023-07-27T08:13:13,8,0
2023-08-06,3390,-20,-50,S20W50,57,56,,,,,,,f,0,0,0,,0,0,0,0,0,,0,0,0,0,2023-07-28T17:17:01,9,0
2023-08-06,3393,17,-58,N17W58,65,64,,,,,,,f,0,0,0,,0,0,0,0,0,,0,0,0,0,2023-07-31T13:32:28,10,0
2023-08-05,3392,10,-20,N10W20,40,38,190,Cao,7,13,B,,f,0,0,0,,5,0,0,0,0,0,40,15,1,1,2023-07-31T07:31:31,11,0
2023-08-05,3395,13,52,N13E52,328,326,120,Dso,6,4,B,,f,0,0,0,,1,0,0,0,0,0,25,1,1,1,2023-08-03T18:05:48,12,0
2023-08-05,3380,-11,-107,S11W0*,127,126,250,Eki,12,5,B,,d,2,1,0,,0,0,0,0,0,0,0,0,0,0,2023-07-23T05:26:04,13,0
2023-08-05,3386,11,-76,N11W76,96,95,250,Dki,4,5,BD,,f,1,1,1,,2,1,0,0,0,0,80,45,10,20,2023-07-26T09:41:01,14,0
2023-08-05,3389,-9,-47,S09W47,67,66,,,,,,,f,0,0,0,,0,0,0,0,0,,0,0,0,0,2023-07-27T13:38:16,15,0
2023-08-05,3393,17,-44,N17W44,64,63,,,,,,,f,0,0,0,,0,0,0,0,0,,0,0,0,0,2023-07-31T13:32:28,16,0
2023-08-05,3384,-17,-92,S17W92,112,111,,,,,,,d,0,0,0,,0,0,0,0,0,,0,0,0,0,2023-07-25T15:26:39,17,0
2023-08-05,3387,22,-49,N22W49,69,68,80,Dso,3,4,B,,f,6,0,0,,11,1,0,0,0,0,40,10,1,1,2023-07-27T08:13:13,18,0
2023-08-05,3390,-20,-36,S20W36,56,55,,,,,,,f,0,0,0,,0,0,0,0,0,,0,0,0,0,2023-07-28T17:17:01,19,0
2023-08-05,3388,-23,-58,S23W58,78,77,10,Axx,1,1,A,,f,0,0,0,,0,0,0,0,0,,5,1,1,1,2023-07-27T13:35:52,20,0
2023-08-05,3391,23,-14,N23W14,34,32,80,Hsx,2,1,A,,f,0,0,0,,0,0,0,0,0,,5,1,1,1,2023-07-29T07:38:20,21,0
2023-08-05,3394,-22,36,S22E36,344,343,150,Hsx,4,2,A,,f,0,0,0,,1,0,0,0,0,0,10,1,1,1,2023-08-03T18:00:50,22,0
2023-08-04,3384,-17,-78,S17W78,111,110,,,,,,,f,0,0,0,,0,0,0,0,0,,0,0,0,0,2023-07-25T15:26:39,23,0
2023-08-04,3387,22,-35,N22W35,68,67,50,Cso,5,3,B,,f,1,0,0,,1,1,0,0,0,0,20,1,1,1,2023-07-27T08:13:13,24,0
2023-08-04,3390,-20,-22,S20W22,55,54,,,,,,,f,0,0,0,,0,0,0,0,0,,0,0,0,0,2023-07-28T17:17:01,25,0
2023-08-04,3389,-9,-33,S09W33,66,65,,,,,,,f,0,0,0,,0,0,0,0,0,,0,0,0,0,2023-07-27T13:38:16,26,0
2023-08-04,3392,10,-5,N10W05,38,36,200,Dao,8,8,BG,,f,0,0,0,,1,0,0,0,0,0,40,10,1,1,2023-07-31T07:31:31,27,0
2023-08-04,3395,13,67,N13E67,326,331,80,Dso,7,2,B,,f,0,0,0,,0,0,0,0,0,,20,1,1,1,2023-08-03T18:05:48,28,0
2023-08-04,3380,-11,-93,S11W93,126,126,250,Eki,12,5,B,,f,3,0,0,,3,0,0,0,0,0,75,35,10,10,2023-07-23T05:26:04,29,0
2023-08-04,3386,11,-62,N11W62,95,91,250,Dhi,5,5,B,,f,0,1,0,,4,1,0,0,0,0,65,20,5,5,2023-07-26T09:41:01,30,0
2023-08-04,3393,17,-30,N17W30,63,62,10,Axx,1,1,A,,f,0,0,0,,0,0,0,0,0,,5,1,1,1,2023-07-31T13:32:28,31,0
2023-08-04,3394,-22,50,S22E50,343,345,160,Cso,4,4,B,,f,1,0,0,,3,0,0,0,0,0,15,1,1,1,2023-08-03T18:00:50,32,0
2023-08-04,3388,-23,-44,S23W44,77,76,10,Axx,2,2,A,,f,0,0,0,,0,0,0,0,0,,5,1,1,1,2023-07-27T13:35:52,33,0
2023-08-04,3391,24,1,N24E01,32,33,90,Hsx,2,2,A,,f,0,0,0,,0,0,0,0,0,,10,1,1,1,2023-07-29T07:38:20,34,0
2023-08-03,3388,-23,-30,S23W30,76,77,10,Axx,1,1,A,,f,0,0,0,,0,0,0,0,0,,5,1,1,1,2023-07-27T13:35:52,35,0
2023-08-03,3391,23,13,N23E13,33,33,90,Hsx,2,1,A,,f,0,0,0,,0,0,0,0,0,,10,1,1,1,2023-07-29T07:38:20,36,0
2023-08-03,3380,-11,-80,S11W80,126,125,330,Eki,12,10,B,,f,13,1,0,,13,1,0,0,0,0,85,45,10,10,2023-07-23T05:26:04,37,0
2023-08-03,3394,-22,61,S22E61,345,,130,Hsx,3,2,A,,f,2,0,0,,0,0,0,0,0,0,20,1,1,1,2023-08-03T18:00:50,38,0
2023-08-03,3390,-20,-8,S20W08,54,52,,,,,,,f,0,0,0,,0,0,0,0,0,,1,1,1,1,2023-07-28T17:17:01,39,0
2023-08-03,3393,16,-16,N16W16,62,61,10,Axx,1,1,A,,f,0,0,0,,0,0,0,0,0,,5,1,1,1,2023-07-31T13:32:28,40,0
2023-08-03,3384,-17,-64,S17W64,110,109,,,,,,,f,0,0,0,,0,0,0,0,0,,1,1,1,1,2023-07-25T15:26:39,41,0
2023-08-03,3387,22,-21,N22W21,67,69,50,Cso,5,5,B,,f,0,0,0,,0,0,0,0,0,,15,1,1,1,2023-07-27T08:13:13,42,0
2023-08-03,3386,12,-45,N12W45,91,92,180,Dso,8,6,B,,f,0,0,0,,0,0,0,0,0,,20,5,1,1,2023-07-26T09:41:01,43,0
2023-08-03,3389,-9,-19,S09W19,65,63,,,,,,,f,0,0,0,,0,0,0,0,0,,1,1,1,1,2023-07-27T13:38:16,44,0
2023-08-03,3392,10,10,N10E10,36,35,160,Eso,11,7,B,,f,1,0,0,,2,0,0,0,0,0,25,5,1,1,2023-07-31T07:31:31,45,0
2023-08-03,3395,15,75,N15E75,331,,60,Hsx,2,1,A,,f,0,0,0,,0,0,0,0,0,,10,1,1,1,2023-08-03T18:05:48,46,0
2023-08-02,3388,-24,-18,S24W18,77,78,10,Axx,1,1,A,,f,0,0,0,,0,0,0,0,0,,5,1,1,1,2023-07-27T13:35:52,47,0
2023-08-02,3391,23,25,N23E25,33,35,80,Cso,3,2,B,,f,0,0,0,,0,0,0,0,0,,10,1,1,1,2023-07-29T07:38:20,48,0
2023-08-02,3386,12,-33,N12W33,92,92,160,Eso,11,6,B,,f,0,0,0,,1,2,0,0,0,0,25,5,1,1,2023-07-26T09:41:01,49,0
2023-08-02,3389,-9,-5,S09W05,63,65,20,Hsx,4,6,A,,f,0,0,0,,0,0,0,0,0,,5,1,1,1,2023-07-27T13:38:16,50,0
2023-08-02,3392,9,23,N09E23,35,37,120,Dao,10,13,B,,f,0,0,0,,0,0,0,0,0,,25,5,1,1,2023-07-31T07:31:31,51,0
2023-08-02,3380,-10,-66,S10W66,125,127,430,Dkc,9,10,BG,,f,5,5,0,,10,1,0,0,0,0,70,25,5,10,2023-07-23T05:26:04,52,0
2023-08-02,3387,20,-10,N20W10,69,69,60,Cso,6,4,B,,f,0,0,0,,0,0,0,0,0,,10,1,1,1,2023-07-27T08:13:13,53,0
2023-08-02,3390,-20,6,S20E06,52,53,10,Bxo,3,2,B,,f,0,0,0,,2,0,0,0,0,0,5,1,1,1,2023-07-28T17:17:01,54,0
2023-08-02,3393,16,-3,N16W03,61,60,10,Axx,1,1,A,,f,0,0,0,,0,0,0,0,0,,5,1,1,1,2023-07-31T13:32:28,55,0
2023-08-02,3384,-17,-50,S17W50,109,110,,,,,,,f,0,0,0,,0,0,0,0,0,,5,1,1,1,2023-07-25T15:26:39,56,0
2023-08-01,3380,-10,-55,S10W55,127,124,190,Dac,10,21,BD,,f,1,7,0,,4,2,0,0,0,0,65,25,5,5,2023-07-23T05:26:04,57,0
2023-08-01,3383,15,-92,N15W92,165,164,,,,,,,d,0,0,0,,0,0,0,0,0,,0,0,0,0,2023-07-24T18:56:26,58,0
2023-08-01,3386,14,-18,N14W18,92,90,150,Eai,11,16,B,,f,0,0,0,,1,0,0,0,0,0,55,15,5,1,2023-07-26T09:41:01,59,0
2023-08-01,3389,-8,7,S08E07,65,64,20,Hsx,3,2,A,,f,0,0,0,,0,0,0,0,0,,5,1,1,1,2023-07-27T13:38:16,60,0
2023-08-01,3392,9,36,N09E36,37,36,40,Dao,3,3,B,,f,0,0,0,,0,0,0,0,0,,25,10,1,1,2023-07-31T07:31:31,61,0
2023-08-01,3388,-23,-6,S23W06,78,79,10,Cro,2,1,B,,f,0,0,0,,0,0,0,0,0,,10,1,1,1,2023-07-27T13:35:52,62,0
2023-08-01,3391,25,37,N25E37,35,37,50,Hsx,3,1,A,,f,0,0,0,,0,0,0,0,0,,5,1,1,1,2023-07-29T07:38:20,63,0
2023-08-01,3384,-18,-39,S18W39,110,107,10,Cao,3,5,B,,f,1,0,0,,1,0,0,0,0,0,20,5,1,1,2023-07-25T15:26:39,64,0
2023-08-01,3387,22,3,N22E03,69,69,50,Cso,3,6,B,,f,0,0,0,,0,0,0,0,0,,10,1,1,1,2023-07-27T08:13:13,65,0
2023-08-01,3390,-18,19,S18E19,53,52,20,Dso,4,2,B,,f,0,0,0,,3,0,0,0,0,0,20,5,1,1,2023-07-28T17:17:01,66,0
2023-08-01,3393,18,12,N18E12,60,59,10,Cso,4,3,B,,f,0,0,0,,0,0,0,0,0,,5,1,1,1,2023-07-31T13:32:28,67,0
