date,speed,fluence,fluence_day_two,fluence_day_three,fluence_day_four,record_Id,record_Id_0
,,,,,,0,
2020-04-22,441.742308401648,,8500000,3900000,4400000,1,0
2020-04-21,382.3669713010775,,1900000,1300000,1100000,2,0
2020-04-20,337.8684186018693,,1500000,840000,1000000,3,0
2020-04-19,307.8965330676855,,1200000,570000,750000,4,0
2020-04-18,321.1232970007535,,840000,990000,1300000,5,0
2020-04-17,314.3111095877735,,810000,1100000,1500000,6,0
2020-04-16,367.6142725397783,,970000,3300000,4200000,7,0
2020-04-15,420.1587130596183,,1500000,7700000,11000000,8,0
2020-04-14,400.8630874304463,,1900000,6600000,10000000,9,0
2020-04-13,392.1379871353969,,1500000,5300000,7000000,10,0
2020-04-12,426.0587660139846,,1500000,8700000,13000000,11,0
2020-04-11,379.1866936326121,,2300000,3900000,5100000,12,0
2020-04-10,367.0098347425461,,2600000,3300000,2900000,13,0
2020-04-09,398.0658389255815,,2600000,6600000,6800000,14,0
2020-04-08,421.3173895783019,,3000000,9700000,14000000,15,0
2020-04-07,312.8442665117424,,5000000,1800000,2400000,16,0
2020-04-06,347.6870412811978,,6600000,4700000,4500000,17,0
2020-04-05,404.734518115309,,7700000,14000000,9900000,18,0
2020-04-04,433.5257830466871,,12000000,18000000,18000000,19,0
2020-04-03,420.1652936254229,,20000000,18000000,14000000,20,0
2020-04-02,421.8660927170308,,45000000,20000000,19000000,21,0
2020-04-01,452.0465427056337,,44000000,30000000,23000000,22,0
2020-03-31,500.6755131006241,,23000000,45000000,49000000,23,0
2020-03-30,426.7170190927043,,10000000,12000000,11000000,24,0
2020-03-29,403.4994486433005,,7300000,9800000,9500000,25,0
2020-03-28,378.2443294402092,,7300000,6700000,7800000,26,0
2020-03-27,404.5605700405172,,10000000,10000000,17000000,27,0
2020-03-26,400.4145169985957,,34000000,10000000,14000000,28,0
2020-03-25,392.705789618588,,31000000,7700000,11000000,29,0
2020-03-24,439.1064570325244,,39000000,16000000,14000000,30,0
