date,tencmfcst_1_day,tencmfcst_2_day,tencmfcst_3_day,record_Id,record_Id_0
,,,,0,
2023-08-08,155,150,150,1,0
2023-08-07,170,165,160,2,0
2023-08-06,168,166,164,3,0
2023-08-05,170,168,166,4,0
2023-08-04,165,162,164,5,0
2023-08-03,160,160,162,6,0
2023-08-02,170,165,160,7,0
2023-08-01,175,170,165,8,0
2023-07-31,175,175,170,9,0
2023-07-30,170,165,165,10,0
2023-07-29,175,170,165,11,0
2023-07-28,165,162,158,12,0
2023-07-27,165,162,158,13,0
2023-07-26,168,165,162,14,0
2023-07-25,168,162,162,15,0
2023-07-24,168,165,160,16,0
2023-07-23,165,165,160,17,0
2023-07-22,170,165,165,18,0
2023-07-21,170,170,165,19,0
2023-07-20,185,185,185,20,0
2023-07-19,188,188,188,21,0
2023-07-18,210,210,210,22,0
2023-07-17,178,174,172,23,0
2023-07-16,184,182,178,24,0
2023-07-15,180,180,182,25,0
2023-07-14,182,180,180,26,0
2023-07-13,200,202,198,27,0
2023-07-12,190,188,188,28,0
2023-07-11,210,208,204,29,0
2023-07-10,192,190,188,30,0
