time_tag,kp_index,estimated_kp,kp,record_Id,record_Id_0
,,,,0,
2023-08-08T21:59:00,0,0.33,0P,1,0
2023-08-08T22:00:00,0,0.33,0P,2,0
2023-08-08T22:01:00,1,0.67,1M,3,0
2023-08-08T22:02:00,1,0.67,1M,4,0
2023-08-08T22:03:00,1,0.67,1M,5,0
2023-08-08T22:04:00,1,0.67,1M,6,0
2023-08-08T22:05:00,1,0.67,1M,7,0
2023-08-08T22:06:00,1,0.67,1M,8,0
2023-08-08T22:07:00,1,0.67,1M,9,0
2023-08-08T22:08:00,1,0.67,1M,10,0
2023-08-08T22:09:00,1,0.67,1M,11,0
2023-08-08T22:10:00,1,0.67,1M,12,0
2023-08-08T22:11:00,1,0.67,1M,13,0
2023-08-08T22:12:00,1,0.67,1M,14,0
2023-08-08T22:13:00,1,0.67,1M,15,0
2023-08-08T22:14:00,1,0.67,1M,16,0
2023-08-08T22:15:00,1,0.67,1M,17,0
2023-08-08T22:16:00,1,0.67,1M,18,0
2023-08-08T22:17:00,1,0.67,1M,19,0
2023-08-08T22:18:00,1,0.67,1M,20,0
2023-08-08T22:19:00,1,0.67,1M,21,0
2023-08-08T22:20:00,1,0.67,1M,22,0
2023-08-08T22:21:00,1,0.67,1M,23,0
2023-08-08T22:22:00,1,0.67,1M,24,0
2023-08-08T22:23:00,1,0.67,1M,25,0
2023-08-08T22:24:00,1,0.67,1M,26,0
2023-08-08T22:25:00,1,0.67,1M,27,0
2023-08-08T22:26:00,1,0.67,1M,28,0
2023-08-08T22:27:00,1,0.67,1M,29,0
2023-08-08T22:28:00,1,0.67,1M,30,0
2023-08-08T22:29:00,1,0.67,1M,31,0
2023-08-08T22:30:00,1,0.67,1M,32,0
2023-08-08T22:31:00,1,0.67,1M,33,0
2023-08-08T22:32:00,1,0.67,1M,34,0
2023-08-08T22:33:00,1,0.67,1M,35,0
2023-08-08T22:34:00,1,0.67,1M,36,0
2023-08-08T22:35:00,1,0.67,1M,37,0
2023-08-08T22:36:00,1,0.67,1M,38,0
2023-08-08T22:37:00,1,0.67,1M,39,0
2023-08-08T22:38:00,1,0.67,1M,40,0
2023-08-08T22:39:00,1,0.67,1M,41,0
2023-08-08T22:40:00,1,0.67,1M,42,0
2023-08-08T22:41:00,1,1,1Z,43,0
