date,speed,fluence,fluence_day_two,fluence_day_three,fluence_day_four,record_Id,record_Id_0
,,,,,,0,
2023-06-10,310,1500000,1600000,360000,400000,1,0
2023-06-11,401,1500000,4600000,1700000,1600000,2,0
2023-06-12,446,1800000,4000000,3200000,2400000,3,0
2023-06-13,432,2000000,2400000,2500000,1600000,4,0
2023-06-14,348,3400000,940000,470000,390000,5,0
2023-06-15,413,2000000,2600000,1500000,2100000,6,0
2023-06-16,652,8300000,220000000,120000000,220000000,7,0
2023-06-17,552,61000000,110000000,58000000,32000000,8,0
2023-06-18,409,110000000,56000000,9800000,6400000,9,0
2023-06-19,423,56000000,24000000,10000000,9100000,10,0
2023-06-20,436,68000000,65000000,12000000,14000000,11,0
2023-06-21,452,36000000,39000000,20000000,16000000,12,0
2023-06-22,437,61000000,71000000,15000000,8300000,13,0
2023-06-23,419,30000000,22000000,8300000,5200000,14,0
2023-06-24,469,23000000,28000000,20000000,12000000,15,0
2023-06-25,507,12000000,31000000,52000000,35000000,16,0
2023-06-26,547,17000000,27000000,89000000,40000000,17,0
2023-06-27,493,62000000,65000000,50000000,25000000,18,0
2023-06-28,449,120000000,65000000,33000000,15000000,19,0
2023-06-29,469,62000000,67000000,46000000,21000000,20,0
2023-06-30,504,94000000,180000000,100000000,91000000,21,0
2023-07-01,480,130000000,97000000,92000000,64000000,22,0
2023-07-02,443,120000000,100000000,53000000,38000000,23,0
2023-07-03,380,150000000,32000000,7200000,3600000,24,0
2023-07-04,362,150000000,53000000,4500000,3300000,25,0
2023-07-05,367,140000000,82000000,5800000,5800000,26,0
2023-07-06,454,16000000,62000000,36000000,46000000,27,0
2023-07-07,486,13000000,22000000,54000000,52000000,28,0
2023-07-08,429,31000000,24000000,23000000,23000000,29,0
2023-07-09,391,42000000,21000000,16000000,23000000,30,0
2023-07-10,359,41000000,23000000,9800000,16000000,31,0
2023-07-11,326,20000000,8800000,4600000,11000000,32,0
2023-07-12,318,15000000,5600000,3700000,6000000,33,0
2023-07-13,317,8800000,9200000,2300000,3600000,34,0
2023-07-14,381,1800000,2300000,5000000,9500000,35,0
2023-07-15,390,1200000,1900000,7000000,6800000,36,0
2023-07-16,388,1300000,1700000,6800000,6200000,37,0
2023-07-17,512,1200000,3900000,49000000,51000000,38,0
2023-07-18,500,26000000,190000000,150000000,110000000,39,0
2023-07-19,442,55000000,27000000,62000000,49000000,40,0
2023-07-20,390,56000000,10000000,14000000,18000000,41,0
2023-07-21,401,6600000,10000000,21000000,26000000,42,0
2023-07-22,434,2600000,2800000,28000000,33000000,43,0
2023-07-23,434,4200000,4300000,23000000,21000000,44,0
2023-07-24,407,8000000,3400000,7800000,7700000,45,0
2023-07-25,396,5800000,4900000,5100000,7300000,46,0
2023-07-26,508,5300000,39000000,69000000,81000000,47,0
2023-07-27,455,15000000,9100000,19000000,8000000,48,0
2023-07-28,398,28000000,24000000,9000000,5800000,49,0
2023-07-29,389,27000000,14000000,6300000,4500000,50,0
2023-07-30,480,15000000,33000000,29000000,34000000,51,0
2023-07-31,382,22000000,6600000,4000000,3000000,52,0
2023-08-01,400,33000000,110000000,11000000,9100000,53,0
2023-08-02,387,1300000,870000,7200000,5600000,54,0
2023-08-03,349,1100000,340000,1400000,1200000,55,0
2023-08-04,406,1400000,3100000,5500000,5000000,56,0
2023-08-05,382,1200000,550000,1500000,1100000,57,0
2023-08-06,362,1500000,1200000,1100000,810000,58,0
2023-08-07,476,1100000,11000000,11000000,6500000,59,0
2023-08-08,483,22000000,34000000,18000000,13000000,60,0
