date,c_class_1_day,c_class_2_day,c_class_3_day,m_class_1_day,m_class_2_day,m_class_3_day,x_class_1_day,x_class_2_day,x_class_3_day,10mev_protons_1_day,10mev_protons_2_day,10mev_protons_3_day,polar_cap_absorption,record_Id,record_Id_0
,,,,,,,,,,,,,,0,
2023-08-08T00:00:00,99,99,75,55,55,40,10,10,1,99,25,1,yellow,1,0
2023-08-07T00:00:00,99,99,99,55,55,35,10,10,1,99,25,1,yellow,2,0
2023-08-06T00:00:00,99,99,99,55,25,25,10,1,1,25,25,25,yellow,3,0
2023-08-05T00:00:00,99,99,99,55,55,35,10,10,5,99,30,5,in progress,4,0
2023-08-04T00:00:00,99,99,99,55,35,35,10,5,5,99,40,5,in progress,5,0
2023-08-03T00:00:00,99,99,99,55,35,35,10,5,5,10,5,5,green,6,0
2023-08-02T00:00:00,99,99,99,55,50,50,10,5,5,10,5,5,green,7,0
2023-08-01T00:00:00,99,99,99,55,55,50,10,10,5,10,10,5,green,8,0
2023-07-31T00:00:00,99,99,99,55,55,55,10,10,10,10,10,10,green,9,0
2023-07-30T00:00:00,99,99,99,55,55,55,10,10,10,10,10,10,green,10,0
2023-07-29T00:00:00,99,99,99,50,50,50,5,5,5,99,50,5,in progress,11,0
2023-07-28T00:00:00,99,99,99,40,40,40,5,5,5,99,99,15,in progress,12,0
2023-07-27T00:00:00,99,99,99,35,25,25,5,1,1,5,1,1,green,13,0
2023-07-26T00:00:00,99,99,99,35,25,25,10,5,5,5,1,1,green,14,0
2023-07-25T00:00:00,99,99,99,35,30,25,5,5,5,10,5,5,green,15,0
2023-07-24T00:00:00,99,99,99,40,35,25,5,5,5,40,5,5,green,16,0
2023-07-23T00:00:00,99,99,99,45,30,25,5,5,5,5,5,5,green,17,0
2023-07-22T00:00:00,99,99,99,45,45,30,5,5,5,5,5,5,green,18,0
2023-07-21T00:00:00,99,99,99,45,45,45,5,5,5,5,5,5,green,19,0
2023-07-20T00:00:00,99,99,99,45,45,45,5,5,5,25,15,5,green,20,0
2023-07-19T00:00:00,99,95,90,50,45,45,15,10,5,85,35,10,green,21,0
2023-07-18T00:00:00,99,95,95,55,45,45,20,20,15,99,70,50,yellow,22,0
2023-07-17T00:00:00,99,99,95,50,50,45,20,20,15,99,65,20,in progress,23,0
2023-07-16T00:00:00,99,99,95,60,60,50,25,25,15,25,20,10,green,24,0
2023-07-15T00:00:00,99,99,99,40,40,40,10,10,10,99,10,10,green,25,0
2023-07-14T00:00:00,99,99,99,50,50,50,10,10,10,10,10,10,green,26,0
2023-07-13T00:00:00,99,99,99,55,55,50,20,15,15,10,10,5,green,27,0
2023-07-12T00:00:00,99,99,99,55,55,50,20,20,15,10,10,10,green,28,0
2023-07-11T00:00:00,99,99,99,55,55,55,20,15,15,10,10,10,green,29,0
2023-07-10T00:00:00,99,99,99,45,40,35,10,10,10,10,10,10,green,30,0
